UID,Name,Position,Drb/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45095490,Takehiro Tomiyasu,"D (RLC), WB (RL)",2.44,13,14,14,14,16,13,16,13,13,16,15,14,14,13,15,13,9,12,14,16,13,17,7,12,13,10,13,7,12,9,11,13,13,7,15,13,3,3,2,1,1,1,1,1,2,2,3,- -  -,
28123259,Brandon Pierrick,AM (R),2.69,14,10,11,12,13,13,11,11,5,8,7,11,7,9,12,10,6,12,7,9,10,9,10,11,12,8,9,9,10,10,4,5,10,11,4,11,2,1,1,2,3,3,2,1,1,4,1,- -  -,
67213728,Álvaro Rodríguez,D/WB/M/AM (R),1.28,12,12,10,10,12,13,12,11,14,13,11,12,13,12,13,14,8,10,13,13,12,13,9,12,10,6,13,8,10,9,13,11,13,7,13,13,2,4,3,1,1,1,1,2,1,2,3,- -  -,Inj
49038952,Khephren Thuram,"DM, M (C)",1.09,15,13,15,16,17,14,16,13,12,14,10,14,12,14,17,15,15,16,14,15,14,14,6,8,14,12,15,7,12,14,6,13,16,10,12,16,3,2,2,2,2,2,3,3,3,1,2,- -  -,Wnt
2000192691,Jaydan Davidson,"M (L), AM (RL)",2.97,14,16,11,11,14,14,8,10,5,9,4,6,4,11,13,14,10,7,4,6,9,8,8,11,12,6,13,6,7,5,5,2,10,4,3,10,2,1,2,2,4,3,1,2,1,1,1,- -  -,
43096538,Manuel Lazzari,D/WB/M (R),3.00,17,17,12,7,19,16,14,8,13,16,15,11,13,14,16,14,8,15,12,15,12,17,6,14,12,10,13,2,6,10,5,12,14,5,14,13,3,1,1,1,4,3,3,2,1,2,2,- -  -,
37053643,Gianluca Scamacca,ST (C),1.29,12,12,16,17,15,14,14,16,14,15,14,15,14,14,16,16,12,16,5,14,13,14,4,6,11,18,15,14,16,16,4,4,12,13,5,14,1,1,1,1,2,3,1,1,4,1,3,- -  -,
43317730,Salvatore Esposito,"DM, M (C)",0.93,15,15,13,8,18,14,14,15,13,16,12,13,15,14,18,12,10,12,15,12,15,15,12,12,13,8,12,14,11,13,9,15,15,11,14,14,2,3,2,2,3,2,2,2,1,3,1,- -  -,Wnt
92083800,Bakery Jatta,"WB (R), M/AM (RL)",2.17,15,14,12,12,17,17,15,13,17,10,15,8,13,11,15,15,9,11,8,12,11,16,6,9,12,8,7,6,10,6,9,8,9,8,10,12,2,3,3,2,3,1,3,3,2,1,4,- -  -,
29131412,Dion Sembie-Ferris,M/AM (RL),2.94,13,12,10,7,14,14,11,9,9,8,9,6,4,5,10,8,6,9,4,8,4,11,10,10,9,4,10,6,9,7,4,3,7,11,3,9,2,2,1,2,4,2,2,1,3,3,1,- -  -,
13161974,Saviour Godwin,"M (L), AM (RL)",2.65,15,15,12,4,14,15,12,8,12,12,13,15,10,12,12,18,5,14,5,8,12,8,7,12,14,11,13,11,5,9,4,3,11,7,7,13,3,2,1,1,3,1,1,2,3,1,2,- -  -,
92039023,Joshua Kimmich,"D/WB (R), DM, M (C)",1.04,13,13,14,9,20,14,19,12,15,16,15,18,13,16,20,13,16,11,14,16,17,20,14,16,11,12,17,16,10,13,11,13,18,12,12,17,2,2,2,3,3,1,3,3,3,1,3,- -  -,
2000165982,Imran Kayani,AM (R),2.58,14,12,14,6,10,14,3,3,7,11,3,10,5,6,7,14,7,11,3,6,5,7,5,6,10,3,14,4,6,9,5,3,8,1,3,13,3,1,2,1,2,2,1,1,1,2,3,- -  -,
37046467,Kevin Diks,"D (RL), WB (R)",3.29,15,12,12,11,13,13,13,11,16,14,13,11,12,12,13,13,8,13,12,13,12,15,6,11,12,12,12,5,13,9,14,12,11,6,12,12,2,1,3,3,3,2,1,3,1,1,3,- -  -,
19409448,Vanderson,D/WB/M (R),2.99,14,16,15,9,16,16,15,12,13,14,14,15,12,15,15,13,16,16,11,14,15,13,9,15,16,10,14,12,10,10,8,12,15,6,13,16,1,3,2,2,1,3,2,1,1,1,1,- -  -,
18007344,Romelu Lukaku,ST (C),1.35,15,10,20,16,14,17,14,19,16,15,16,17,13,14,18,13,16,16,7,19,13,14,6,13,12,19,14,11,15,14,3,5,14,20,11,14,3,1,1,1,3,3,1,4,1,1,1,- -  -,
36096824,Kostas Tsimikas,D/WB/M (L),1.51,15,15,14,10,15,15,15,12,15,15,14,15,14,14,15,13,9,14,14,16,14,16,14,16,14,7,16,11,9,9,12,14,15,12,15,16,1,2,1,2,2,2,3,3,2,3,2,- -  -,
61070563,Kieran Tierney,"D (LC), WB (L)",1.32,15,16,16,12,14,15,15,12,15,15,16,14,14,14,18,12,15,13,15,19,12,18,10,16,13,11,14,10,12,11,15,14,13,8,15,13,2,4,3,2,1,1,2,3,3,1,1,- -  -,
29193934,Leon Maloney,"M (R), AM (RL), ST (C)",2.58,12,9,11,7,14,13,12,12,8,11,9,11,7,11,3,11,9,10,7,10,11,10,9,10,12,10,10,6,8,8,8,4,10,3,4,9,1,1,1,1,1,1,3,2,2,1,2,- -  -,
51055829,Uriel Antuna,"M/AM (RL), ST (C)",2.83,15,17,9,6,16,15,14,7,8,11,12,10,11,12,13,14,6,13,7,12,10,12,10,13,12,11,12,5,8,8,8,6,13,10,5,12,3,3,2,3,3,2,1,1,3,2,1,- -  -,
28105528,Kelsey Mooney,"AM (R), ST (C)",3.39,11,11,9,9,9,11,10,8,9,8,7,8,9,7,11,6,3,5,4,12,6,9,5,4,8,5,9,5,6,9,4,4,7,9,4,8,2,1,2,1,3,3,2,1,1,3,3,- -  -,
67277845,Borja Sainz,"M (L), AM (RL)",2.60,15,14,10,6,11,14,12,9,9,10,9,11,11,11,3,13,8,13,9,12,11,11,9,12,13,9,12,7,8,11,8,5,11,13,6,12,3,2,3,2,1,1,3,1,1,3,1,- -  -,
89052391,Zack Newton,"M/AM (RL), ST (C)",2.53,12,8,6,7,9,11,8,9,8,10,9,9,7,9,6,10,9,6,4,9,8,9,5,6,8,4,8,6,6,6,14,3,6,5,3,8,1,3,1,4,2,3,1,2,2,3,2,- -  -,
29114989,Jonathan Bamba,"M (L), AM (RL), ST (C)",2.07,15,15,14,5,17,15,15,12,12,15,11,14,14,13,14,12,7,15,7,12,11,13,12,13,13,13,14,8,4,10,6,6,12,9,6,15,2,2,2,2,3,3,3,1,1,3,2,- -  -,
29193999,Sammy Ompreon,"AM (R), ST (C)",2.46,14,12,7,11,10,15,9,11,10,5,10,7,5,5,6,13,5,6,3,12,5,12,7,4,5,5,6,6,9,7,3,3,5,3,3,6,1,1,3,3,3,2,2,1,1,1,2,- -  -,
28104124,Trent Alexander-Arnold,"D/WB (R), DM, M (RC)",2.48,14,14,14,11,16,15,13,13,12,13,12,15,12,15,15,14,13,15,12,15,16,14,14,17,12,9,16,13,11,12,13,12,16,13,12,18,2,3,3,2,1,1,1,4,2,1,2,- -  -,
12092528,Datro Fofana,"AM (RL), ST (C)",1.74,16,18,16,13,16,17,14,15,13,14,8,14,9,12,16,18,8,15,9,8,14,16,9,12,15,12,13,11,12,12,5,8,14,9,7,15,3,1,2,2,1,2,2,2,1,1,2,- -  -,Inj
13226670,Ahmed Aboul Fotouh,D/WB (L),1.23,15,16,14,9,13,16,16,12,13,11,13,12,14,13,14,13,5,14,13,13,12,16,8,13,13,8,14,4,13,10,11,14,12,9,13,15,3,3,1,3,1,3,4,3,4,2,2,- -  -,
43272248,Gabriele Zappa,D/WB/M (R),2.50,15,14,14,14,16,15,15,14,11,13,13,14,15,14,13,11,11,15,14,14,12,14,7,13,13,10,13,7,10,12,13,12,13,7,14,13,3,3,1,2,3,2,2,3,2,1,3,- -  -,Opt
73201697,Wyan Reid,D/M/AM (R),2.75,12,11,10,5,12,11,13,7,15,6,5,7,5,5,14,8,8,12,6,11,6,11,5,8,8,4,10,4,4,4,7,4,6,5,4,7,2,3,2,4,1,2,2,2,1,2,4,- -  -,
29240108,Tom Sparrow,"D/WB (R), DM, M (C)",0.89,13,12,8,5,14,13,12,6,6,10,6,9,8,14,13,6,7,7,12,9,11,9,6,7,6,2,12,6,5,5,3,9,13,3,13,9,2,1,2,3,3,1,1,2,4,2,1,- -  -,Inj
55041623,João Cancelo,"D/WB (RL), M (RC), AM (R)",2.87,15,15,14,11,16,14,13,11,12,15,12,13,12,15,13,17,7,14,13,13,15,14,12,17,14,11,15,14,10,11,12,10,16,11,13,17,2,3,1,1,3,3,2,2,3,3,3,- -  -,
59065573,Saba Lobzhanidze,AM (RL),2.28,15,14,13,6,15,15,12,8,10,14,7,11,8,9,9,17,6,14,6,9,14,12,16,11,16,10,11,15,1,15,1,1,13,13,3,13,3,2,3,2,1,2,1,1,1,2,2,- -  -,Inj
43010773,Ciro Immobile,ST (C),0.84,13,13,15,10,20,15,14,11,14,19,15,14,13,14,20,13,15,19,3,15,12,16,4,5,10,19,15,3,15,12,2,4,13,17,6,14,2,3,2,1,3,3,2,3,1,1,2,- -  -,
28097985,Tammy Abraham,ST (C),1.43,15,16,17,17,15,16,13,14,14,15,15,12,13,13,16,16,13,16,10,15,13,16,5,10,13,16,15,11,15,12,4,6,13,14,8,14,4,2,1,1,3,1,3,3,3,3,1,- -  -,
67211695,Theo Hernández,D/WB/M (L),4.29,16,15,17,12,16,17,16,13,18,14,14,12,13,13,16,13,14,17,14,12,12,13,7,15,15,13,14,12,13,14,11,13,14,14,14,13,3,2,4,4,2,3,1,1,2,3,1,- -  -,
37066566,Anthony Musaba,"M (R), AM (RL), ST (C)",2.64,15,15,11,12,14,15,11,12,7,11,12,9,9,9,15,13,8,11,5,12,9,12,11,10,14,9,13,8,9,12,10,5,12,6,5,14,3,2,3,1,3,1,3,2,2,3,1,- -  -,
67257950,Víctor Gómez,D/WB (R),1.69,15,14,14,6,13,15,13,12,11,13,12,13,10,14,13,11,10,14,12,13,13,14,12,13,13,5,11,7,9,10,14,10,13,6,10,13,1,1,1,1,2,1,4,1,1,4,1,- -  -,
2000007236,Jesús Diaz,AM (RL),1.83,15,14,13,3,13,15,12,10,8,11,9,11,9,14,12,15,13,13,7,11,11,12,12,13,14,10,13,13,8,12,5,4,11,11,4,14,1,2,1,3,2,3,3,2,3,1,3,- -  -,
31040645,Armstrong Oko-Flex,"M/AM (RL), ST (C)",2.86,14,12,13,14,10,14,10,4,13,10,8,8,7,10,5,11,7,12,6,8,8,9,5,8,12,11,12,7,5,7,7,6,8,4,6,10,1,3,2,1,2,3,3,2,1,2,1,- -  -,Wnt
27091941,Paul Onuachu,ST (C),1.18,9,13,16,20,15,14,13,16,15,15,16,12,13,13,13,14,6,14,6,14,11,13,3,8,10,14,14,6,13,10,5,9,12,8,6,13,1,1,1,2,1,3,1,1,3,2,4,- -  -,Opt
98029336,Kevin Mbabu,D/WB (R),2.99,14,12,12,12,13,14,16,13,16,12,14,11,12,11,16,11,7,12,11,12,11,15,4,11,12,6,11,4,11,7,18,12,11,7,15,12,3,3,1,2,1,1,2,2,3,3,1,- -  -,
28085794,Connor Randall,"D (RL), WB (R)",2.25,12,11,12,9,12,13,14,12,14,11,14,12,11,12,12,9,12,11,11,14,8,15,6,11,11,6,12,5,11,6,8,11,13,7,12,10,2,2,3,1,2,2,3,1,1,2,2,- -  -,
59115227,Vüsal İsgəndərli,"M (L), AM (RL)",2.69,14,12,11,8,10,14,9,9,12,9,11,9,8,9,12,11,7,12,7,11,10,12,9,10,11,10,10,6,8,10,5,3,9,7,5,11,3,3,1,2,2,3,2,3,3,2,3,- -  -,Inj
18102670,José Luis Rodríguez,M/AM (RL),2.19,15,13,10,11,12,15,11,11,8,11,10,12,11,10,13,14,9,11,5,10,10,12,7,11,14,11,12,7,9,7,6,7,12,11,6,13,1,2,1,1,2,1,1,3,3,3,3,- -  -,
37055842,Noa Lang,"M (L), AM (RL), ST (C)",1.30,13,14,10,9,14,13,12,9,16,12,16,14,11,13,10,16,8,14,8,12,14,13,10,14,15,12,14,10,8,11,4,6,14,10,6,15,2,2,2,1,1,1,1,4,2,3,3,- -  -,
29242535,Nicky Gyimah,"AM (RL), ST (C)",2.66,15,14,6,4,15,15,15,8,6,7,5,5,4,5,12,9,12,7,4,6,4,9,6,6,9,6,8,5,6,4,7,3,10,5,3,8,3,1,2,1,2,2,1,1,2,3,3,- -  -,Wnt
67228634,Achraf Hakimi,"D (R), WB (RL), M (R)",3.07,17,16,14,9,17,19,13,11,14,13,12,13,12,13,15,14,9,17,11,12,14,13,7,15,13,13,15,12,8,13,13,11,14,9,13,13,3,2,2,3,1,3,1,1,4,2,3,- -  -,
2002082673,Ismaël Pierre,D/WB/AM (R),1.65,16,18,13,9,15,15,14,9,10,10,14,10,8,12,15,11,9,8,8,11,9,15,6,11,10,3,13,3,9,6,6,9,11,5,7,14,2,2,3,2,2,1,1,1,2,1,2,- -  -,
2000108979,Jake Bradford,M/AM (R),2.50,13,13,7,10,10,12,13,6,12,4,5,9,3,4,14,10,12,4,1,5,2,10,4,7,9,5,10,2,1,1,4,2,6,5,1,7,3,4,2,3,2,2,4,2,2,3,1,- -  -,
67268221,Pedro Porro,D/WB/M/AM (R),3.26,15,17,14,7,17,15,15,13,15,14,17,12,13,13,16,17,9,17,11,11,16,13,12,18,16,11,16,14,8,13,12,12,16,12,14,15,3,1,2,3,3,2,1,3,3,1,1,- -  -,
14186894,Juan Foyth,"D (RC), WB (R), DM",1.52,14,15,15,14,14,15,15,13,14,14,14,16,14,12,13,12,11,13,15,15,13,16,7,12,12,8,15,11,15,7,9,14,15,8,16,15,2,1,3,3,3,4,1,1,1,3,2,- -  -,Inj
83174775,João Mário,"D/WB/M (R), AM (RL)",2.95,15,17,13,8,14,14,14,9,11,13,12,13,9,11,14,16,7,14,9,9,12,12,10,16,16,10,13,8,8,8,10,8,12,10,9,14,1,3,1,2,2,4,1,2,3,2,2,- -  -,
29140665,Remy Longdon,"AM (RL), ST (C)",2.37,8,8,8,9,9,9,11,9,11,7,14,6,7,9,12,3,12,8,8,15,7,13,5,9,7,7,9,5,6,6,5,6,8,11,6,7,1,4,4,2,1,2,3,1,3,2,3,- -  -,
67276482,Ander Barrenetxea,"D (L), M/AM (RL)",2.69,14,14,15,8,14,15,12,16,9,12,10,13,14,13,12,14,10,15,8,13,14,12,11,14,14,11,13,7,8,11,6,7,12,13,7,15,1,4,1,2,1,3,1,3,1,2,1,- -  -,Inj
