UID,Name,Position,Drb/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61089387,Aaron Hickey,D/WB (RL),2.55,16,15,13,8,13,16,14,12,11,14,15,14,14,14,15,13,10,14,14,14,15,14,7,13,14,10,14,7,9,14,11,10,14,7,13,14,4,3,1,2,2,2,2,3,2,3,3,- -  -,Ask
98031298,Florent Hadergjonaj,"D (RL), WB/M (R)",1.83,13,12,11,7,17,13,15,9,6,11,10,10,13,9,13,11,8,11,12,14,8,14,6,12,11,7,13,5,9,5,12,10,13,11,12,13,1,1,2,2,1,2,1,2,1,1,1,- -  -,Wnt
70097248,Zeki Çelik,"D (RL), WB (R)",2.92,14,13,12,11,14,15,15,13,8,14,15,13,14,14,14,10,8,13,12,13,8,16,9,14,10,10,12,5,10,8,13,13,14,4,14,12,4,2,1,1,1,3,4,1,3,3,2,- -  -,nEU
28107837,Keelan O'Connell,M/AM (R),2.16,12,12,10,7,13,12,14,9,7,8,7,10,4,5,4,8,12,9,4,9,5,9,8,7,10,4,10,8,8,12,3,3,11,8,3,10,2,2,1,1,1,3,1,1,3,1,4,- -  -,
29233292,Jack Williams,M/AM (RL),3.35,11,12,9,2,9,11,11,6,6,5,7,8,4,6,5,11,5,9,3,6,6,7,5,7,13,5,13,4,5,3,4,3,8,3,3,7,2,3,2,2,3,2,2,3,3,2,3,- -  -,
2000134404,Henry Timi Davies,ST (C),1.50,14,14,10,14,15,14,12,10,14,12,2,14,3,6,8,10,10,8,3,4,5,7,3,3,12,7,15,5,14,8,1,4,8,2,4,11,2,3,3,3,2,1,2,1,3,2,2,- -  -,
75058347,Jesús Ramírez,ST (C),2.40,11,11,11,14,12,12,12,13,13,12,11,12,10,12,17,10,9,13,5,11,11,12,7,9,12,15,12,8,13,11,5,4,8,10,6,11,4,1,1,3,3,4,2,3,1,3,2,- -  -,
29186418,Jack Clarke,"WB (L), M/AM (RL)",3.37,16,17,14,11,10,15,11,4,8,12,6,13,7,11,14,16,8,13,7,10,11,9,5,13,14,12,13,5,6,9,1,4,9,9,4,13,1,1,4,1,1,3,2,1,3,3,1,- -  -,
28116533,Jeremy Ngakia,"D (RL), WB (R)",3.70,15,12,14,13,15,13,14,11,12,10,14,12,10,11,12,12,9,12,12,13,12,14,7,10,13,9,11,5,7,10,7,10,12,7,12,12,3,3,3,3,4,2,1,1,1,1,3,- -  -,
98034811,Jordan Lotomba,"D (RL), WB/M (R)",3.05,14,15,9,9,15,13,14,8,14,13,12,12,13,11,13,14,7,12,13,15,9,14,8,11,14,8,14,6,7,6,13,12,12,11,13,13,3,3,1,1,1,3,2,2,1,2,1,- -  -,
43207789,Bright Gyamfi,D/WB (R),1.45,13,13,10,9,12,13,11,13,13,12,9,12,12,11,13,11,9,11,12,12,10,10,7,11,10,7,11,8,9,11,12,12,13,8,12,11,2,2,1,3,3,2,3,2,3,2,3,- -  -,Inj
62083371,Petar Stojanović,D/WB (R),2.16,14,12,13,11,16,14,15,13,18,11,14,11,11,10,15,10,9,13,13,16,11,17,8,12,15,8,13,7,10,12,14,12,13,8,17,13,4,3,2,2,1,1,1,1,1,1,2,- -  -,
19258927,Caio Henrique,"D/WB (L), M (LC)",1.42,15,15,12,7,16,15,14,12,12,15,12,12,15,13,13,14,9,14,12,13,14,13,10,14,13,9,14,12,8,12,11,12,14,12,14,14,2,2,3,2,2,4,4,1,2,1,2,- -  -,
29175037,Jordan Williams,"D (RLC), WB (R)",1.46,13,12,11,13,13,14,13,12,12,11,12,12,12,11,14,8,7,12,11,13,11,12,8,12,11,5,9,7,12,6,8,13,9,6,12,11,3,3,1,1,2,4,1,4,2,1,2,- -  -,
71085857,Oleksandr Tymchyk,D/WB (R),1.71,15,15,12,11,13,15,14,12,11,12,12,10,13,12,14,8,6,13,13,13,11,14,6,12,11,4,11,4,10,5,14,11,13,3,14,11,3,1,1,3,3,1,2,1,3,1,3,- -  -,Trn
29160208,Hakeem Odoffin,"D (RC), WB (R), DM, M (C)",1.63,14,12,8,16,13,16,14,14,12,12,15,6,7,8,17,4,7,6,12,12,4,12,9,7,11,4,8,10,11,1,7,10,9,3,12,7,2,1,1,1,1,3,2,3,1,2,3,- -  -,
