UID,Name,Position,Pens Saved Ratio,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000041587,Jean-Marie Plath,GK,17%,13,9,3,11,10,12,1,6,6,5,14,8,8,14,14,3,5,1,10,7,7,6,3,2,3,1,3,7,1,2,2,2,9,3,2,3,8,9,10,14,13,8,9,12,14,6,7,10,16,3,9,12,6,11,10,10,12,- -  -,
2000038822,Ahmed Abidi,GK,25%,13,8,9,9,12,12,6,7,8,10,15,8,7,14,18,1,12,3,12,8,8,7,4,1,2,3,1,6,1,2,3,1,13,3,2,5,7,10,12,11,13,6,13,10,14,10,9,9,10,4,12,8,14,10,10,10,15,- -  -,
2000035496,Alfie Marriott,GK,20%,10,6,7,13,12,11,2,6,8,6,13,5,8,13,4,2,7,3,9,6,4,5,1,3,1,2,1,4,1,2,2,1,6,3,3,1,9,7,4,6,13,12,7,8,9,11,10,10,15,2,11,5,9,15,11,10,16,- -  -,Yth
2000034300,M'Backé N'Diaye,GK,40%,12,15,7,10,13,11,7,7,14,9,10,6,10,13,10,3,10,2,14,8,7,7,2,1,2,3,1,3,1,3,1,2,8,1,3,3,13,12,8,5,8,13,9,6,11,6,12,11,19,1,11,16,5,11,11,12,16,- -  -,
2000032168,Enrico Piu,GK,17%,9,9,6,7,15,12,4,4,9,8,13,7,11,13,5,2,11,2,9,6,5,5,2,1,2,2,1,4,1,2,2,2,7,3,3,4,9,7,9,5,12,10,7,11,13,12,4,12,9,8,11,10,5,11,10,12,15,- -  -,
2000028817,Naeem Abuaker,GK,17%,10,15,4,8,10,10,3,5,5,10,11,7,7,12,2,1,13,2,9,7,7,6,2,2,2,3,3,4,1,1,2,1,9,3,2,1,9,8,9,5,13,7,7,13,13,5,6,9,9,2,5,7,5,12,11,13,17,- -  -,
2000028294,Amadou Fall,GK,43%,12,11,6,9,13,12,1,6,9,11,14,4,6,13,12,1,4,1,6,5,5,4,2,1,1,1,1,2,1,3,1,1,11,2,3,4,7,9,6,5,13,7,5,5,12,14,10,10,11,5,5,7,9,12,10,12,16,- -  -,
2000027155,Arlis Shala,GK,25%,8,7,3,14,11,10,1,6,9,7,8,6,7,12,3,2,11,3,7,6,6,5,2,1,2,3,1,5,1,1,2,1,10,3,2,5,13,6,13,13,9,13,5,15,13,6,4,11,10,4,6,14,8,9,8,12,10,- -  -,
2000026365,Rafa Pedrero,GK,33%,10,9,8,9,12,10,2,7,10,6,13,7,10,14,4,1,9,1,13,4,7,6,2,1,1,3,1,3,1,3,1,2,10,3,1,4,12,7,10,6,14,14,9,6,14,7,9,13,20,5,13,6,11,10,10,11,10,- -  -,
