UID,Name,Position,Tcon/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75014620,Lorenzo Reyes,"DM, M (C)",1.48,10,9,11,10,16,10,14,12,14,14,15,7,12,13,14,9,14,8,15,15,13,16,7,10,6,6,13,8,7,11,9,13,11,11,12,12,3,1,3,2,2,1,3,2,2,1,3,- -  -,Inj
29193812,Keenan Patten,"DM, M (C)",1.20,10,12,14,6,12,12,11,10,8,11,7,9,9,13,9,9,9,7,10,10,12,13,9,9,11,8,11,11,7,12,4,9,13,4,9,12,3,3,1,1,3,2,3,1,2,3,1,- -  -,Wnt
29242653,George Thomason,"DM, M (C)",0.96,10,11,12,7,13,10,15,13,12,13,12,12,13,12,14,10,10,11,12,13,13,12,6,8,8,6,13,8,9,9,7,9,15,5,9,13,3,2,2,3,3,2,4,3,3,1,1,- -  -,
29154407,Ashley Charles,"DM, M (C)",1.18,12,10,10,6,13,12,10,9,13,9,8,4,9,8,7,7,8,9,8,12,10,11,8,5,6,4,10,10,5,8,8,7,11,7,11,9,4,3,1,1,3,1,3,4,1,2,1,- -  -,
2000230874,Sami Bessadi,"DM, M (LC)",0.62,9,9,4,3,13,6,5,3,9,6,4,7,4,12,8,6,10,6,4,6,10,9,4,3,4,1,12,5,4,3,3,3,11,1,8,6,1,1,3,1,3,3,2,1,1,2,3,- -  -,
24065180,Enis Çokaj,"DM, M (C)",1.29,12,14,14,8,16,12,17,14,17,13,15,10,14,13,15,9,14,11,15,13,12,18,13,11,9,8,11,12,10,14,8,14,15,11,13,12,2,1,3,3,2,2,3,1,2,2,1,- -  -,
19233489,Vitor Carvalho,"DM, M (C)",1.00,11,14,13,13,14,12,14,12,16,13,12,11,14,11,15,11,8,9,13,13,14,15,6,9,10,10,12,7,11,9,7,11,13,11,13,12,3,2,2,4,1,1,3,2,1,2,1,- -  -,
19046039,Fernando,"DM, M (C)",0.68,9,10,9,7,10,8,10,7,10,14,10,15,9,13,10,15,12,11,12,10,15,11,12,7,7,9,15,16,9,12,7,11,15,11,8,16,2,3,1,1,3,3,2,4,3,3,3,- -  -,
28049347,Jack Price,"DM, M (C)",1.26,10,11,12,6,15,11,13,10,14,14,11,14,16,13,15,6,15,11,14,17,15,15,16,11,7,5,13,9,8,9,7,13,16,8,13,14,1,1,1,1,1,1,1,1,1,1,1,- -  -,
28018443,Robert Gucher,"DM, M (C)",0.81,11,11,12,9,13,10,11,12,11,14,10,10,12,13,12,12,14,9,12,12,13,14,9,9,10,6,13,10,10,12,8,12,14,10,12,11,1,1,3,3,4,2,3,3,2,2,3,- -  -,
2002094638,Ridiger Zeqiri,"DM, M (C)",0.84,13,13,16,5,15,13,13,9,7,13,17,13,11,15,17,5,13,8,13,12,13,13,8,8,11,6,15,8,7,8,3,10,15,9,12,17,1,3,3,2,4,3,3,2,2,3,3,- -  -,Loa
14227360,Máximo Perrone,"DM, M (C)",2.12,12,13,15,10,13,13,15,11,12,15,13,14,13,14,17,13,13,13,13,13,15,12,6,7,13,9,15,10,12,13,10,13,15,11,12,14,2,3,1,4,3,2,4,4,4,1,3,- -  -,Loa
2002102797,Amir Hamid,"DM, M (C)",1.25,8,10,15,8,13,9,9,10,8,7,6,15,11,12,13,4,14,9,10,15,11,12,5,7,9,7,14,8,11,6,5,7,11,5,7,17,3,3,2,4,2,1,1,2,1,2,1,- -  -,Wnt
2000119480,Jack Shaw,"DM, M (C)",1.12,12,13,10,14,11,12,12,14,14,8,5,6,7,9,7,6,5,3,8,8,11,13,2,6,8,5,9,6,4,8,2,11,9,4,9,12,1,3,2,2,2,3,3,2,2,3,1,- -  -,
22028022,Kristiyan Malinov,"DM, M (C)",1.42,13,15,11,5,18,13,15,9,18,13,18,11,13,10,18,7,13,11,12,18,11,18,11,9,9,8,11,11,5,10,5,11,11,10,14,10,1,1,2,1,2,3,3,1,3,2,3,- -  -,Wnt
89066113,Dylan Barkers,"DM, M (C)",1.49,7,5,9,16,11,8,11,11,8,6,10,7,8,9,9,5,9,5,11,11,8,11,6,5,6,5,8,7,10,6,7,12,10,6,13,9,1,3,2,1,2,1,3,4,1,2,3,- -  -,
2000020024,Freddie Potts,"DM, M (C)",1.23,7,6,6,16,20,7,11,9,9,11,8,14,10,14,11,8,9,10,12,12,14,11,7,7,7,8,15,7,8,9,4,8,15,6,5,11,1,3,1,2,3,1,1,3,2,2,3,- -  -,Wnt
91157416,Orestis Kiomourtzoglou,"DM, M (C)",1.42,12,14,14,14,17,14,15,15,14,12,16,14,15,13,15,6,13,8,13,13,11,15,7,5,12,7,11,6,12,6,10,13,13,8,12,12,2,1,2,3,3,3,3,1,3,1,3,- -  -,Opt
67195855,Mikel Vesga,"DM, M (C)",0.33,9,10,9,14,13,9,10,11,13,13,13,13,14,13,13,8,8,11,15,15,12,17,6,6,7,7,14,9,13,13,8,14,13,7,14,12,2,3,1,2,1,3,3,3,2,2,4,- -  -,
13112746,Jean-Eudes Aholou,"DM, M (C)",1.34,13,13,14,15,17,14,16,15,14,14,15,13,13,12,14,9,10,12,12,14,13,16,6,10,11,8,13,7,12,10,8,13,13,10,14,12,2,3,2,3,2,3,1,2,1,2,1,- -  -,Opt
78091915,Christian Oliva,"DM, M (C)",0.62,13,13,13,8,14,14,12,13,14,12,13,12,11,12,14,12,13,12,13,14,12,16,12,10,10,9,11,10,6,13,7,12,13,8,13,13,2,3,1,3,1,1,2,2,3,1,2,- -  -,Opt
11027837,Ylber Ramadani,"DM, M (C)",1.23,10,12,13,12,14,11,17,12,14,14,15,11,12,12,14,8,11,11,13,14,12,16,2,10,8,7,11,3,9,12,4,12,11,9,13,8,1,1,4,2,2,2,3,1,1,3,3,- -  -,
29217700,Dylan Boyle,"DM, M (C)",0.65,13,9,10,9,12,11,11,12,5,9,8,9,7,9,10,6,8,6,10,12,12,11,7,3,8,5,9,5,5,10,5,9,9,5,13,10,1,2,1,4,1,3,1,1,1,3,2,- -  -,
76036999,Víctor Cantillo,"DM, M (C)",0.86,10,8,11,10,12,11,13,10,8,13,12,13,10,15,14,13,13,9,13,15,16,13,11,7,10,9,16,11,11,13,6,11,16,4,13,16,3,3,2,1,3,2,2,1,4,1,1,- -  -,
2000189978,Jack Taylor,"DM, M (C)",0.98,9,12,7,9,15,9,11,13,14,11,7,5,10,13,14,6,6,6,13,7,11,12,4,3,4,5,9,5,4,9,1,11,8,4,13,4,3,2,3,2,2,1,3,2,2,2,1,- -  -,Opt
2000102786,Enrique Tiamuna,"DM, M (C), AM (L)",0.82,13,11,6,15,12,12,11,11,7,7,6,8,5,13,13,14,8,6,6,6,7,10,4,4,10,4,11,4,3,7,3,5,13,2,5,6,2,1,2,1,1,1,1,3,2,3,3,- -  -,
29236492,Dejan Tetek,"WB (R), DM, M (C)",0.97,13,13,13,9,16,14,15,12,14,12,14,10,13,10,16,10,8,13,14,13,11,15,10,9,10,10,12,10,9,9,10,12,11,4,12,11,2,3,3,3,2,1,1,3,2,2,3,- -  -,
22055223,Yanis Karabelyov,"DM, M (C)",0.38,13,14,12,10,14,12,13,12,13,13,15,10,13,11,15,10,14,12,12,15,11,15,9,8,10,8,11,10,8,10,7,11,12,11,13,12,2,3,2,1,4,3,2,2,2,2,1,- -  -,Trn
28105521,Alex Prosser,"DM, M (C)",1.09,11,9,9,9,10,10,13,10,3,5,7,8,9,10,7,5,6,7,6,10,10,13,8,4,5,8,7,6,6,5,2,8,12,4,12,10,3,1,3,1,2,1,2,1,2,3,1,- -  -,
29156100,Lewis Travis,"DM, M (C)",1.08,12,12,12,13,16,12,17,13,17,13,19,9,12,12,18,9,15,11,12,13,12,18,6,10,9,7,11,7,12,9,7,12,12,7,15,11,4,2,1,2,1,2,1,3,3,1,2,- -  -,
15075193,Cameron Devlin,"DM, M (C)",1.39,12,12,13,8,15,12,15,12,18,16,18,10,14,11,16,10,13,10,15,15,12,18,5,6,9,6,12,6,8,8,1,13,12,6,15,11,1,1,1,1,3,1,1,1,1,2,2,- -  -,Opt
2000141028,Roddy McGlinchey,"DM, M (C)",1.10,12,12,13,13,13,13,14,13,8,11,9,11,9,10,14,9,14,10,12,10,10,12,4,6,7,5,9,6,7,8,5,10,11,10,9,12,3,2,2,4,1,1,2,2,3,2,3,- -  -,Ask
31036053,Ansu Janneh,"DM, M (C)",1.47,9,9,4,12,14,10,10,11,12,7,6,5,5,12,15,4,11,6,9,6,7,11,5,3,4,5,7,5,4,4,1,10,7,4,11,5,1,2,3,1,2,1,2,2,2,2,4,- -  -,
85126092,Ellyes Skhiri,"DM, M (C)",1.19,13,14,13,12,15,15,19,12,14,16,13,12,13,13,15,12,13,11,14,15,13,15,5,11,12,12,14,13,12,15,5,13,15,8,13,13,3,4,3,3,3,3,2,1,1,3,1,- -  -,Inj
37055855,Ramiz Zerrouki,"DM, M (C)",1.03,10,14,13,10,15,12,14,12,15,14,15,12,14,14,15,9,14,11,12,14,12,16,13,10,12,8,12,14,11,14,6,12,13,4,11,14,1,2,3,3,2,2,1,1,3,3,1,- -  -,
29125472,Ethan Robson,"DM, M (C)",0.90,12,12,9,10,13,12,14,7,9,11,7,12,12,11,11,11,10,12,11,13,13,12,11,11,9,10,12,11,7,12,9,9,12,12,11,13,2,3,1,3,2,1,1,1,4,3,3,- -  -,
28100474,Jack Evans,"DM, M (C)",1.20,9,12,7,12,15,11,12,13,10,12,14,9,12,11,12,7,7,7,13,13,11,12,7,6,9,5,11,6,9,5,4,11,12,6,13,11,3,3,3,1,2,1,3,3,3,2,1,- -  -,
19375640,André,"DM, M (C)",1.75,13,13,13,7,13,13,14,14,13,14,13,13,14,14,15,11,14,12,14,13,13,14,6,7,11,9,13,9,11,10,9,14,13,9,13,13,3,3,2,3,2,1,3,1,2,3,1,- -  -,Wnt
29223284,Daniel Malone,"DM, M (C)",0.79,13,12,7,7,12,12,8,8,9,9,7,4,6,13,6,7,2,4,8,7,11,11,2,5,5,5,10,5,5,8,1,6,12,1,10,11,2,1,1,3,2,1,1,2,1,3,3,- -  -,
24039536,Karlo Muhar,"DM, M (C)",0.77,13,13,12,13,13,13,13,13,16,13,13,11,12,12,12,10,13,10,13,13,12,13,7,8,10,8,12,8,12,8,7,13,12,10,14,12,2,3,1,3,2,1,2,1,1,2,1,- -  -,
48043484,Pape Gueye,"DM, M (C)",1.03,15,13,14,11,15,14,15,14,12,14,11,8,9,12,14,13,13,13,14,15,12,15,11,8,10,6,14,10,11,14,3,12,14,9,14,13,1,3,2,4,3,2,2,3,1,3,3,- -  -,
29176153,Matty Wolfe,"DM, M (C)",0.90,11,11,11,14,14,12,12,12,13,11,12,14,10,10,12,8,9,12,11,12,12,12,8,8,10,7,10,8,8,8,4,8,13,10,10,12,2,3,3,1,2,1,1,2,2,4,2,- -  -,
29240038,Eli King,"DM, M (C)",0.98,11,12,13,12,13,12,13,10,7,12,11,14,12,12,14,10,7,9,12,12,12,11,11,11,10,7,12,9,10,10,7,10,12,7,10,13,3,1,1,3,4,1,2,1,3,2,2,- -  -,
29121994,Callum Cooke,"DM, M (LC)",0.82,9,13,11,7,12,9,11,12,10,12,9,12,9,11,13,13,6,12,8,12,13,12,10,11,12,7,11,10,7,13,3,7,13,10,8,13,1,1,3,3,1,3,3,2,3,2,2,- -  -,Wnt
2002082268,Cory Pitman,"DM, M (C)",1.05,10,10,15,14,11,11,12,10,12,10,9,11,8,12,14,3,1,7,11,10,12,13,8,6,7,6,12,10,6,6,2,9,13,6,10,15,1,3,1,1,2,4,2,2,2,3,3,- -  -,
29210194,George Hunt,"DM, M (C)",1.49,11,8,6,9,13,7,6,5,14,11,7,9,5,15,11,5,8,8,3,7,14,10,2,4,3,5,13,6,6,9,1,8,11,6,11,12,2,1,3,3,1,2,1,3,2,1,3,- -  -,
29176916,Dru Yearwood,"DM, M (C), AM (R)",1.18,14,14,13,8,17,14,15,13,11,12,12,13,12,13,15,7,7,10,13,13,11,15,6,6,10,6,12,6,8,9,4,12,11,5,12,10,2,2,1,1,3,1,2,3,4,1,3,- -  -,
