UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
43274745,Rosario Russo,D (C),69%,10,14,6,7,17,12,8,6,12,7,7,5,12,4,6,5,7,4,10,5,3,6,1,1,1,1,5,2,13,2,3,13,3,1,7,4,2,2,2,1,1,2,3,1,3,1,3,- -  -,Ctr
2000162458,Luca Bottoni,D (C),67%,11,10,4,8,13,10,6,3,5,4,6,4,8,5,17,5,8,2,13,3,1,4,1,3,1,1,4,1,6,1,1,13,2,1,10,3,1,2,1,1,1,3,1,1,2,2,3,- -  -,
60026792,Manuel Iuzzolino,D (C),65%,7,9,4,7,12,8,10,6,9,12,7,4,6,6,14,5,13,3,12,3,2,5,1,1,1,3,4,1,5,3,1,8,4,1,8,3,2,2,3,2,3,2,3,2,3,2,1,- -  -,
30047213,Rinor Kuqi,D (C),77%,14,12,7,10,8,11,5,7,9,11,8,7,10,6,6,5,13,5,9,6,2,8,3,1,3,2,2,1,7,3,1,14,4,3,12,4,3,1,1,2,2,2,1,2,1,4,1,- -  -,
2000153599,Moussa Tall,D (C),66%,10,9,12,11,12,11,10,8,11,7,8,8,7,7,7,4,6,7,10,7,4,7,5,6,7,5,7,5,12,4,13,9,7,5,10,6,3,2,4,3,2,1,2,1,3,3,2,- -  -,Ctr
60024658,Michele Cevoli,D (C),65%,7,8,8,16,12,10,8,7,9,7,4,7,8,7,15,5,7,8,10,7,5,5,5,5,5,6,6,5,10,5,1,10,9,5,8,8,3,1,3,2,3,3,2,1,1,1,2,- -  -,Inj
60000007,Davide Simoncini,D (C),64%,5,5,8,12,14,6,7,9,17,8,10,6,9,7,4,3,13,4,10,9,4,11,3,3,1,4,4,3,9,3,5,11,7,3,10,3,3,3,1,3,2,2,3,3,2,2,3,- -  -,
84156543,Marco Ćurić,D (C),70%,8,11,10,10,14,9,5,5,10,10,9,9,8,7,13,5,12,8,17,8,8,6,5,7,3,1,8,3,10,6,3,10,11,1,15,12,2,1,3,3,1,2,3,2,1,2,1,- -  -,Ctr
2000072590,Pasquale Pontillo,D (C),68%,11,10,11,11,13,10,11,7,6,8,9,8,11,7,5,5,3,7,10,8,7,9,8,4,8,5,9,4,11,7,4,10,10,4,15,4,2,1,3,1,1,1,3,1,3,2,1,- -  -,Yth
2000029842,Cristian Grieco,D (C),70%,8,8,3,12,12,10,2,5,9,7,3,2,3,7,12,5,10,2,12,1,1,3,1,1,1,1,1,1,8,1,1,12,3,1,11,1,1,3,1,1,1,3,2,1,2,4,2,- -  -,
43021791,Alex Della Valle,D (C),68%,8,7,8,9,6,9,8,9,11,8,10,8,7,7,11,5,8,5,9,10,6,8,5,5,4,5,6,3,9,5,4,10,8,2,8,2,2,1,1,1,3,2,1,1,3,2,2,- -  -,
2000208621,Oleg Antkotovych,D (C),89%,12,11,4,11,8,12,3,3,14,3,6,1,10,7,11,5,9,1,13,3,1,4,1,1,1,1,3,1,5,3,1,9,4,1,4,1,2,1,3,3,1,4,1,1,2,3,1,- -  -,Ctr
60000079,Juri Biordi,D (C),67%,5,4,9,12,7,6,7,13,17,8,12,5,7,7,13,4,14,4,11,8,5,5,3,3,3,5,5,5,9,3,6,10,5,3,10,4,1,1,1,1,1,1,1,1,1,1,1,- -  -,
43125348,Nicolas Lombardi,D (C),70%,9,9,9,8,16,9,10,10,15,9,8,8,11,8,12,5,12,5,10,8,5,9,5,5,2,3,9,3,8,4,8,11,6,8,9,4,3,1,1,4,1,3,3,1,3,2,1,- -  -,
14010471,Oscar Carniello,D (C),70%,8,6,12,9,13,9,13,12,14,13,13,11,12,8,14,5,13,8,13,13,7,13,4,5,5,8,8,7,13,7,11,12,11,6,13,7,3,3,1,2,2,4,2,4,3,3,3,- -  -,
43178850,Alexandru Radu,D (C),68%,12,12,5,10,15,12,10,6,13,7,7,2,10,8,14,5,9,2,6,3,1,5,1,1,1,1,2,1,8,1,1,12,4,2,9,2,4,3,2,2,2,2,1,3,2,1,4,- -  -,Ctr
47037388,Ferdinando Apap,D (C),75%,12,11,11,16,10,12,12,10,11,6,11,11,8,8,13,7,12,6,6,5,8,9,6,4,7,7,6,1,15,6,4,11,8,6,10,8,3,3,1,2,4,2,2,1,1,3,1,- -  -,
48043540,Moussa Kamara,D (C),65%,15,13,9,15,6,14,6,13,12,11,10,9,9,8,14,7,5,8,9,8,5,9,2,6,5,5,9,1,12,3,5,9,9,2,12,7,3,2,3,3,4,2,3,2,2,3,4,- -  -,
30034753,Arber Prekazi,D (C),71%,12,9,8,10,15,8,10,8,11,9,7,9,11,8,4,5,7,7,15,8,6,8,6,3,1,4,7,6,14,7,5,11,8,3,14,8,2,1,1,1,2,3,3,2,2,3,3,- -  -,
43109322,Nicholas Arrigoni,D (C),69%,9,8,10,12,15,9,7,8,7,8,7,9,9,8,9,5,10,6,10,9,7,8,5,6,5,5,7,5,7,6,7,9,8,6,9,7,1,1,1,1,1,1,1,1,1,1,1,- -  -,Ctr
2000052755,Marin Magdić,D (C),71%,11,11,13,13,13,11,12,13,15,10,9,10,8,8,12,10,12,9,11,12,11,11,6,10,8,9,10,5,11,9,8,12,10,7,16,12,2,3,2,3,3,1,1,1,1,3,1,- -  -,Inj
43607096,Mattia Scaringi,D (C),69%,8,9,13,13,11,9,14,13,15,10,16,10,7,8,13,7,10,5,10,8,5,12,3,4,6,4,6,4,11,3,8,12,5,4,12,6,3,3,3,2,3,2,2,1,2,3,1,- -  -,
43500199,Davide De Vivo,D (C),69%,10,8,11,16,12,11,8,10,7,6,9,10,11,8,9,5,7,9,10,9,6,10,5,2,8,6,10,3,11,6,4,11,6,3,16,6,3,3,3,1,3,3,2,1,2,3,2,- -  -,
43393674,Maicol Acquarelli,D (C),72%,11,10,3,6,12,11,6,8,5,9,6,1,6,9,15,5,9,1,11,2,1,3,1,1,1,1,1,1,7,1,1,11,3,2,8,1,2,2,2,2,2,3,2,1,3,1,2,- -  -,
16147656,Stefan Perić,D (C),81%,12,11,13,12,12,13,13,13,8,11,12,12,11,9,12,5,6,4,14,12,9,12,5,6,8,5,10,6,14,8,6,12,7,7,12,7,1,3,2,2,2,3,1,2,3,2,1,- -  -,
826516,Alex Nodari,D (C),64%,4,5,9,13,15,5,7,9,12,10,10,9,12,9,15,5,14,7,12,7,7,9,5,4,3,7,6,4,11,4,4,11,7,6,12,9,2,3,2,2,4,1,1,1,3,2,1,- -  -,
2000081365,Isaac Buhagiar,D (C),68%,11,8,3,7,14,10,2,4,8,5,5,2,6,9,16,5,11,2,12,2,1,3,1,1,1,1,2,1,5,1,1,12,3,1,12,2,3,3,2,2,2,2,2,1,3,2,2,- -  -,Ctr
2000148498,Destiny Egharevba,D (C),69%,9,10,9,15,5,10,7,8,11,7,9,5,10,9,7,5,10,7,9,7,2,8,1,1,1,1,8,4,9,5,3,9,5,1,15,6,1,2,1,2,3,4,2,3,2,3,1,- -  -,Yth
2000135517,Marko Vlahovski,D (C),69%,13,12,9,11,8,12,12,7,15,10,9,4,10,9,14,6,6,5,14,6,6,7,4,3,5,4,7,2,15,1,4,13,8,1,10,5,4,3,2,3,1,2,2,3,2,3,2,- -  -,Yth
2000156502,Nathan Cruce-Corcy,D (C),69%,10,8,10,16,12,9,9,14,12,9,12,8,8,9,7,6,13,6,10,10,7,8,4,5,6,5,8,4,10,5,6,11,9,3,10,7,4,2,2,1,2,1,1,3,1,3,3,- -  -,Yth
2000178939,Josiah Mallia,D (C),75%,7,7,3,6,15,7,7,5,9,8,6,1,5,9,16,5,10,1,10,1,1,2,1,1,1,1,1,1,8,1,1,11,1,1,8,1,3,1,2,2,2,4,2,1,3,1,2,- -  -,Yth
2000208680,David Oseye,D (C),76%,8,6,3,12,12,8,5,5,7,8,6,2,4,9,7,5,3,1,12,2,1,3,1,1,1,1,1,1,6,1,2,12,3,1,8,1,2,2,1,3,1,1,1,2,1,2,3,- -  -,
19371562,Enck,D (C),69%,12,10,9,17,14,10,12,13,13,9,12,7,10,9,12,12,6,9,12,12,7,12,5,7,7,8,9,5,12,8,6,12,9,7,12,9,2,1,1,2,3,3,3,2,2,4,3,- -  -,
5785722,Andrei Agius,D (C),70%,5,5,7,12,11,8,10,11,10,12,12,10,10,9,14,7,14,9,12,12,2,11,1,4,3,4,5,2,13,2,4,12,7,4,12,6,2,2,1,1,2,2,2,3,1,3,1,- -  -,
