UID,Name,Position,Pr passes/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
59123129,Islomjon Qobilov,D (C),0.00,14,13,8,8,17,13,9,11,14,11,10,6,10,13,4,5,15,7,14,5,8,9,6,5,4,4,7,2,13,6,2,13,9,4,13,7,2,1,3,3,3,2,1,3,3,3,2,- -  -,
2002102080,Juan Carmona,D (C),0.00,14,15,12,8,11,13,4,2,13,10,9,4,9,11,14,4,14,2,13,5,3,8,1,4,3,1,8,2,9,2,2,13,9,7,10,3,2,2,1,3,1,1,2,1,3,3,2,- -  -,Int
29108071,Rob Holding,D (C),0.35,13,13,14,15,14,13,15,13,13,14,15,13,14,13,14,8,13,5,14,16,12,15,2,6,8,5,13,6,14,5,11,15,12,5,15,12,1,2,1,2,3,1,2,1,2,3,4,- -  -,
43083931,Daniele Rugani,D (C),0.77,12,12,15,15,15,15,14,14,7,14,11,9,16,11,12,10,7,5,14,16,11,15,4,7,8,8,12,4,14,6,6,14,12,5,14,12,1,2,2,1,3,3,2,2,2,3,1,- -  -,Inj
2000144831,Elaydjah Nijon,D (C),0.00,13,12,10,12,12,13,7,10,11,13,9,4,13,13,15,5,12,5,11,5,3,7,3,1,5,3,2,1,11,1,1,13,2,1,13,2,1,2,4,1,1,3,3,2,1,1,1,- -  -,
79026928,Saúl Salcedo,D (C),0.44,13,11,13,13,16,13,9,13,14,15,16,12,14,13,12,9,11,10,15,13,7,12,6,9,7,5,12,6,16,1,10,14,13,11,14,9,3,2,3,1,3,2,3,2,3,2,2,- -  -,Inj
2000140716,Sam Gill,D/M (C),0.26,10,12,6,12,13,10,12,10,11,7,8,3,12,12,10,7,10,5,6,4,8,7,2,3,2,1,5,4,8,4,3,7,10,2,11,6,2,2,2,2,1,3,3,1,3,2,4,- -  -,
19167576,Gustavo Henrique,D (C),1.49,7,7,13,19,14,10,8,15,13,13,13,13,13,12,14,8,4,9,13,12,10,13,4,5,5,9,13,5,16,3,4,15,13,10,14,12,1,3,1,1,1,1,1,2,1,2,3,- -  -,
29091029,Jack Hendry,D (C),1.04,11,12,14,14,13,11,14,15,12,11,13,12,15,13,14,6,13,10,14,14,11,14,5,4,9,5,10,6,14,7,12,14,10,7,14,10,2,1,2,2,2,2,2,3,2,2,3,- -  -,
43018272,Simone Benedetti,D (C),0.00,9,9,12,13,14,10,11,12,12,11,13,12,13,12,16,7,11,8,13,12,7,12,3,4,5,4,10,3,13,3,9,13,11,8,13,10,2,2,3,2,3,2,2,3,1,3,3,- -  -,
76036920,Alexis Pérez,D (C),0.00,11,10,13,12,12,11,12,13,10,13,12,12,15,13,12,7,9,12,14,13,11,15,7,9,7,4,10,12,13,7,11,14,14,9,14,13,2,2,1,2,2,1,3,2,2,3,3,- -  -,Trn
43087000,Alberto Barison,D (C),0.00,11,10,12,12,13,10,12,12,12,13,12,13,12,12,12,12,11,12,13,14,11,12,8,11,11,10,13,7,13,11,12,12,12,7,12,8,2,3,2,1,1,2,4,2,2,2,3,- -  -,
2000133045,Ben Dale,D (C),0.14,8,8,7,16,10,8,5,8,9,7,8,5,8,8,7,4,9,3,14,6,2,6,2,1,2,2,2,6,8,4,5,7,7,1,13,5,2,2,3,2,2,1,2,3,2,3,1,- -  -,
2000052363,David Okagbue,D (C),0.00,8,10,10,15,13,9,12,12,9,12,11,11,13,11,12,6,12,9,16,11,9,11,7,5,7,3,6,5,11,3,7,3,8,7,10,2,2,2,1,1,1,4,2,1,2,2,3,- -  -,
2002083896,Alex Kavanagh,D (C),0.00,7,7,7,6,14,8,11,9,13,9,7,1,7,12,11,2,6,1,10,13,3,12,3,1,1,1,4,1,12,1,1,8,5,4,12,6,1,3,3,2,3,2,1,2,1,1,3,- -  -,
19319320,Rodrigão,D (C),0.40,10,11,12,15,14,12,14,16,10,14,14,15,15,12,14,4,13,4,13,13,10,13,4,4,7,8,8,5,15,5,7,14,11,8,15,10,3,1,3,1,3,3,1,4,2,3,2,- -  -,
2002094657,Raul Florea,D (C),0.00,9,10,17,14,16,10,10,10,10,11,18,9,13,10,16,6,7,5,8,10,4,10,4,7,5,6,8,6,8,3,5,12,8,5,15,8,1,2,2,3,1,3,4,2,3,3,1,- -  -,
19266224,Guilherme Garutti,D (C),0.00,9,10,10,17,11,8,13,14,11,12,10,11,12,12,10,8,9,10,12,12,11,13,6,4,5,7,7,6,14,8,8,14,11,7,14,8,1,3,2,3,3,2,1,2,1,3,1,- -  -,
43206181,Giuseppe Cuomo,D (C),0.60,11,13,11,15,13,11,14,13,10,13,13,11,12,12,12,7,10,6,12,12,6,12,7,6,5,5,8,7,12,7,8,12,9,5,12,9,1,1,1,3,2,3,1,3,2,1,2,- -  -,
2002107281,Anthony Giannotta,D/M (C),0.00,9,8,6,10,12,7,7,8,14,7,17,7,8,10,10,2,11,6,9,6,4,9,3,4,7,6,7,5,12,5,6,9,8,4,10,7,2,3,1,1,2,3,3,3,4,3,2,- -  -,Yth
29236814,Loick Ayina,D (C),0.00,10,11,10,10,10,12,13,12,8,12,8,11,11,10,15,6,4,10,10,9,9,10,5,3,8,3,8,3,11,3,2,11,10,4,10,7,1,1,2,2,1,1,1,1,3,3,3,- -  -,Inj
83111536,Diogo Leite,D (C),0.00,11,12,14,14,14,12,13,13,11,13,11,13,12,13,12,7,14,7,13,14,13,13,8,9,11,7,12,8,13,7,9,15,14,9,12,13,3,1,1,2,1,2,3,2,1,2,2,- -  -,
28127129,Daniel Obi,D (C),0.00,13,10,6,12,7,13,5,11,13,8,7,6,8,14,5,5,14,2,13,4,4,5,2,3,1,1,3,1,8,2,1,10,2,2,11,3,1,3,3,1,1,1,1,1,3,3,3,- -  -,
2000218327,James Walsh,D (C),0.00,8,9,6,2,10,10,4,6,8,9,7,5,11,13,14,5,7,1,10,4,3,5,1,1,1,1,4,1,5,1,1,11,5,1,12,1,1,3,3,2,2,1,2,2,3,1,3,- -  -,
43009070,Michele Camporese,D (C),1.33,8,7,11,14,12,8,13,12,14,14,13,12,12,13,13,10,10,9,12,12,9,13,4,5,6,7,9,6,15,5,10,14,10,6,12,8,1,1,2,1,1,1,1,1,1,2,3,- -  -,
20050628,Callum Chapman-Page,D (C),0.00,10,10,10,11,11,10,10,13,14,8,10,12,10,9,13,5,10,9,10,10,11,10,5,5,7,5,10,7,11,5,3,9,13,4,13,12,1,1,1,2,2,1,2,1,1,2,3,- -  -,
29157140,Paul Kalambayi,D (C),1.22,12,12,9,16,15,11,12,13,12,11,10,13,12,13,14,6,11,7,12,8,11,12,2,5,7,5,9,4,10,5,4,12,10,7,11,10,2,3,1,3,1,3,1,2,1,3,3,- -  -,
67216542,Tachi,D (C),0.62,11,11,10,11,10,12,12,11,15,14,15,9,13,12,17,6,13,5,13,14,8,11,6,6,6,4,9,6,12,8,9,14,9,7,13,9,1,1,1,1,1,1,2,1,3,3,4,- -  -,
2002094735,David Njøs,D (C),0.00,9,7,7,16,7,9,10,10,8,10,10,7,9,7,14,3,14,6,8,13,7,9,4,3,3,2,6,3,7,1,4,10,6,9,10,3,2,2,1,3,1,3,3,3,2,2,2,- -  -,
43077907,Paolo Rozzio,D (C),0.00,8,9,11,13,13,10,12,10,14,14,11,11,12,12,16,9,13,9,13,13,12,13,8,8,7,9,11,7,13,7,11,12,11,8,14,10,3,3,2,1,2,1,3,1,2,2,4,- -  -,
51078642,Víctor Guzmán,D (C),0.06,8,11,12,12,10,12,13,13,12,15,13,14,14,12,11,10,13,12,13,13,13,10,8,12,8,6,11,11,12,8,11,14,14,9,14,13,1,3,2,2,1,3,1,2,2,1,2,- -  -,
2000187733,Fuad Adeniyi,D (C),0.00,9,11,14,10,15,12,5,14,14,11,9,7,11,8,16,6,11,5,14,8,6,8,3,1,1,1,6,4,13,4,4,13,6,1,10,4,3,1,3,3,3,2,3,1,1,2,3,- -  -,
67202348,Jesús Pozo,D (C),0.00,9,11,11,10,11,12,12,10,11,10,11,7,10,10,9,9,9,6,12,9,6,7,5,4,7,3,9,6,13,4,6,12,9,5,12,7,2,2,1,3,3,3,2,3,1,3,1,- -  -,
2000006158,Willy Kambwala,D (C),0.00,14,11,13,16,16,15,12,15,13,12,13,11,13,10,12,9,8,4,12,11,8,11,1,4,6,4,10,2,10,2,4,12,10,3,11,9,1,3,1,3,1,3,2,3,3,3,1,- -  -,
48037162,Robin Le Normand,D (C),3.01,12,13,13,16,16,14,15,15,14,15,14,14,16,15,14,8,14,7,14,14,8,14,7,6,8,6,12,9,14,9,4,14,14,6,16,14,3,3,1,3,3,2,3,2,1,1,1,- -  -,
93060314,Dennis Hadžikadunić,D (C),0.00,13,12,11,14,11,14,13,13,13,15,12,13,14,13,13,5,13,11,14,14,11,13,6,6,8,5,12,6,15,5,9,13,12,7,14,11,1,3,2,3,2,4,2,1,2,3,2,- -  -,Inj
28066859,Charlie l'Anson,D (C),0.00,12,10,9,12,11,12,12,11,12,12,14,11,12,11,16,7,10,9,11,11,7,14,5,6,5,6,11,5,13,7,8,12,11,4,13,9,1,1,3,2,2,3,2,3,1,1,2,- -  -,
68008625,Pontus Jansson,D (C),2.82,11,10,12,16,14,12,13,15,16,14,18,12,12,13,17,9,15,5,14,12,10,14,1,5,9,5,13,1,13,4,7,14,13,3,15,14,2,1,4,3,1,1,4,1,3,1,3,- -  -,
2000163077,Carlo Capuana,D (C),0.00,11,10,12,11,13,10,12,9,5,5,9,2,7,13,9,5,9,1,12,5,5,7,2,1,5,1,6,4,12,3,1,13,6,3,12,2,1,2,2,2,1,2,2,3,1,2,3,- -  -,
48050286,Tristan Crama,D (C),0.00,11,11,11,17,12,12,12,13,12,11,11,10,12,12,13,3,10,5,11,10,10,12,3,5,7,6,10,6,12,5,6,12,9,4,11,10,2,2,3,3,1,2,3,1,1,1,3,- -  -,
19261503,Nino,D (C),4.67,13,13,13,14,14,13,13,13,11,16,14,13,16,13,12,10,12,8,15,14,8,14,7,7,11,5,12,5,13,4,8,14,15,7,14,12,2,1,1,2,1,1,2,4,3,2,3,- -  -,
28037100,Toto Nsiala,D (C),1.05,9,10,12,16,15,11,13,16,14,12,14,8,10,7,14,7,10,10,12,11,4,12,4,4,6,3,9,4,14,4,8,12,8,4,13,9,4,2,3,3,1,3,1,1,3,3,2,- -  -,
2002109761,Walter Romanens,D/M/AM (C),0.00,10,6,12,12,16,6,8,4,6,6,11,5,4,12,7,2,3,6,9,13,6,12,3,3,5,4,5,3,5,6,4,4,5,2,5,9,2,2,2,3,2,3,3,4,1,3,3,- -  -,
29111558,Sid Nelson,D (C),0.00,8,9,8,11,11,8,11,12,12,9,15,7,10,4,15,3,10,4,10,12,7,10,2,2,4,4,8,2,12,4,11,12,4,5,12,8,3,2,2,3,1,1,3,3,2,1,1,- -  -,
2002083437,Pedro Gomes,D (C),0.00,8,6,8,12,17,7,6,6,9,4,17,5,8,5,6,3,15,3,12,4,6,5,1,3,4,2,5,3,8,3,1,7,9,2,9,9,3,3,2,1,4,3,2,1,3,2,3,- -  -,
2002096317,Daniel Lopes,D (C),0.00,6,4,8,13,12,6,8,8,8,9,8,4,9,8,12,4,15,3,7,8,4,11,2,4,5,2,6,4,6,4,3,9,6,5,13,4,3,3,1,2,3,1,1,1,2,3,2,- -  -,
2002080975,Paul Baxter,D (C),1.56,7,8,6,13,10,10,7,9,8,8,7,9,10,10,5,3,8,4,8,11,5,7,3,1,3,2,6,2,8,3,3,9,4,3,12,10,3,2,1,3,3,3,1,1,1,1,1,- -  -,
55070299,Rúben Dias,D (C),3.64,14,14,12,15,18,14,17,16,16,16,18,14,17,15,18,8,17,8,17,15,13,17,3,13,11,7,13,4,14,3,4,17,14,7,18,13,3,3,2,3,3,3,2,3,3,3,2,- -  -,
2002084436,Abdelkader Boukhari,D/M/AM (C),0.00,6,9,6,15,14,8,10,8,18,9,12,10,9,10,11,5,2,8,5,10,6,13,5,3,4,5,10,5,7,3,5,6,11,3,9,14,1,3,1,3,2,3,1,2,1,1,3,- -  -,
14047176,Lautaro Giannetti,D (C),3.43,11,8,11,13,14,13,13,14,14,16,17,12,16,14,15,6,13,7,14,15,10,15,5,4,8,4,10,4,15,4,8,16,12,8,15,12,3,3,3,3,2,1,2,3,3,1,1,- -  -,
2002084440,Moussa Lamrabette,D/M (C),0.00,5,3,6,9,4,4,8,11,9,7,17,4,8,13,13,6,7,4,8,4,8,8,3,5,5,3,5,7,5,4,2,12,8,2,8,7,2,3,2,1,3,1,2,3,1,2,1,- -  -,
24058106,Josip Šutalo,D (C),4.24,14,12,12,16,14,15,13,15,12,17,11,17,16,14,14,10,11,8,16,14,13,12,2,8,11,5,14,3,15,5,6,15,14,6,16,14,3,1,2,3,1,1,1,1,2,3,3,- -  -,
2002080761,Veniamin Chantouris,D (C),0.00,8,11,8,7,13,10,13,13,14,11,15,8,14,13,15,4,14,2,14,15,9,12,4,2,1,3,4,2,12,3,3,13,10,6,13,5,2,3,3,2,2,3,3,3,2,3,2,- -  -,
57148207,Virgil Ghiţă,D (C),0.00,10,12,13,13,14,12,14,13,13,14,14,11,13,12,14,10,13,10,13,12,11,13,7,10,9,7,11,8,13,9,7,13,12,7,13,11,2,4,3,3,1,2,2,2,3,1,1,- -  -,
19270493,Bremer,D (C),4.21,15,13,13,16,17,15,15,18,14,18,13,13,15,14,16,7,10,7,14,12,12,14,4,6,10,10,12,4,15,6,4,17,13,5,16,12,1,3,4,1,2,1,1,2,2,2,3,- -  -,nEU
