UID,Name,Position,Pr passes/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25017080,David Jablonský,D (C),0.00,7,5,10,15,14,9,10,11,14,14,16,13,12,11,14,8,13,11,13,14,10,14,3,6,8,9,11,6,13,10,9,12,13,9,12,9,3,2,1,3,1,1,1,2,3,1,1,- -  -,
43204399,Alessandro Vogliacco,D (C),3.28,13,11,11,14,12,13,14,14,12,15,12,12,13,13,13,9,11,12,13,12,12,12,8,9,10,7,12,7,14,6,11,13,12,9,13,11,3,1,3,3,1,2,1,3,2,2,2,- -  -,
2000222682,Noah McCann,D (C),4.30,10,9,8,12,12,9,12,11,8,10,2,4,8,10,2,5,11,1,14,4,3,5,3,1,1,1,5,1,12,3,1,11,5,4,7,3,1,1,1,3,2,1,3,1,3,2,3,- -  -,Inj
29141816,Henry Lander,D (C),4.44,10,7,8,9,10,8,8,11,6,9,9,8,9,10,12,2,12,6,10,6,5,9,3,2,1,3,9,5,9,3,2,9,8,6,11,3,3,3,3,1,1,1,1,3,3,1,3,- -  -,Inj
52090545,John Mahon,D (C),4.05,12,13,10,13,13,12,12,13,14,12,14,9,11,12,14,7,8,7,13,12,8,12,3,5,6,4,10,4,13,3,7,12,11,3,12,10,2,2,3,2,4,2,1,3,2,2,1,- -  -,
90049334,Will Thornton,D (C),4.25,8,6,10,14,9,10,9,13,14,8,12,4,10,10,14,3,13,3,10,10,4,10,2,2,4,4,7,4,13,3,5,11,8,5,11,7,1,2,3,2,3,4,1,3,2,1,3,- -  -,
28100548,Kyle Howkins,D (C),4.14,10,8,8,15,15,9,6,12,12,10,12,10,10,8,8,6,5,4,13,9,5,7,2,4,5,2,6,2,13,1,2,9,8,3,9,9,3,1,4,1,2,1,2,1,1,1,1,- -  -,
29176512,Teddy Perkins,D (C),4.37,5,3,3,14,13,4,7,8,13,9,8,8,11,13,19,5,4,3,14,5,5,6,1,1,1,3,4,1,9,2,2,12,5,1,8,2,1,3,3,3,2,3,2,1,3,4,2,- -  -,
2000142287,Dom Cain,D (C),5.03,4,7,3,11,11,5,4,9,13,8,7,5,12,14,17,4,4,4,9,6,4,5,3,1,1,3,6,4,9,1,1,11,5,2,11,4,3,2,1,1,2,2,2,1,3,2,3,- -  -,
18027217,Dino Arslanagic,D (C),3.78,9,9,14,14,15,8,12,14,16,12,13,12,14,14,16,5,11,5,14,14,9,15,8,8,8,6,10,6,13,6,5,14,7,7,13,10,2,3,1,2,2,1,2,2,3,1,3,- -  -,
28118145,Zeno Ibsen Rossi,D (C),3.74,10,10,12,16,11,9,12,14,11,13,9,10,13,15,11,6,10,8,13,1,9,11,6,6,7,5,9,6,12,4,8,12,10,5,13,9,1,2,3,2,2,1,1,1,3,3,2,- -  -,
2000053508,Patrick Gamble,D (C),4.54,12,11,12,15,15,15,12,11,10,11,10,6,13,7,15,6,11,7,12,9,8,8,1,3,3,5,8,1,10,4,4,10,9,4,13,4,1,1,1,3,1,2,2,2,3,2,1,- -  -,
61077396,Ryan Porteous,D (C),3.72,12,7,11,13,15,11,13,15,15,13,17,8,13,11,13,8,14,8,15,12,10,15,7,2,8,6,9,7,15,3,9,15,12,9,18,9,1,3,2,3,3,3,1,1,1,3,1,- -  -,
2000111353,Adam Beardsworth,D (C),3.36,9,7,8,12,9,10,8,12,9,10,10,10,12,11,14,5,10,7,12,6,9,8,4,3,5,3,8,6,11,4,5,10,7,3,9,8,4,3,3,2,2,3,3,3,1,2,4,- -  -,
2002082438,Moussa Diomandé,D (C),0.00,5,5,7,14,6,5,7,8,15,6,7,7,9,5,16,5,5,2,8,6,4,4,5,3,4,4,6,2,7,3,2,8,5,4,13,2,1,1,3,1,1,2,3,2,1,2,3,- -  -,
29217687,Cheick Diabate,D (C),3.67,12,12,12,16,11,12,13,14,12,10,13,7,10,11,9,5,7,8,10,11,8,13,8,4,8,9,7,9,12,2,5,10,7,6,12,8,2,2,3,3,2,3,1,3,3,1,1,- -  -,Wnt
29019771,Sean Morrison,D (C),3.66,4,6,9,13,10,7,6,9,13,12,18,11,12,12,16,5,17,7,12,13,9,11,5,4,4,7,11,5,14,6,15,13,10,7,15,10,2,1,2,1,1,1,3,2,3,2,1,- -  -,
29189397,Max Ram,D (C),3.43,8,7,9,14,12,9,10,13,14,10,14,7,8,9,11,6,10,9,11,11,9,14,3,4,2,2,5,1,15,2,3,11,7,3,13,9,3,3,3,3,3,1,2,2,2,1,1,- -  -,
90061931,Kyle Morrison,D (C),4.12,8,8,11,13,9,8,9,13,10,9,10,9,11,8,10,5,12,4,10,9,7,10,2,3,6,3,6,3,12,1,5,11,6,5,10,5,1,1,2,2,2,1,2,3,2,1,3,- -  -,
2002080713,Ian Simpson,D (C),2.43,13,12,14,8,11,14,14,11,11,10,12,3,10,12,4,5,12,1,13,11,5,12,4,1,1,2,5,4,12,1,4,12,7,2,13,1,2,2,3,1,2,3,1,2,2,2,3,- -  -,
