Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Jack Young,"DM, M (C)",7.17,7.17,12,10,3,12,11,8,8,13,4,2,3,9,7,13,12,2,7,12,9,5,10,5,3,5,8,2,9,7,11,8,3,9,8,11,10,9,12,12,2,2,8,9,10,10,8,1,- -  -,Wnt,11
Cody Pennington,"DM, M (C), AM (R)",7.12,7.12,15,9,2,12,13,12,8,16,3,4,1,10,5,11,15,3,7,13,10,4,6,12,4,7,9,1,8,7,12,7,3,11,18,9,9,12,12,8,1,3,14,11,11,16,15,1,- -  -,Wnt,12
Tashan Oakley-Boothe,"DM, M (C)",7.10,7.10,11,12,1,12,10,9,11,12,1,4,2,9,7,11,10,2,12,12,6,6,10,9,1,7,8,1,7,11,12,7,3,10,13,11,7,8,9,12,1,1,10,12,13,12,11,3,- -  -,,14
Gerard Reilly,"DM, M/AM (C)",7.10,7.10,9,9,1,14,14,7,8,8,1,3,3,8,6,10,8,1,6,10,6,3,8,10,2,8,5,3,6,14,15,10,2,9,6,11,7,8,10,9,1,1,15,15,7,6,9,3,- -  -,U18,8
Liam Ravenhill,"DM, M (C)",7.10,7.10,11,9,3,8,13,10,9,15,1,1,1,8,4,12,8,3,10,14,7,5,7,11,4,6,7,2,8,6,11,7,3,7,9,12,6,7,9,10,3,3,7,15,10,9,12,1,- -  -,,11
Rafferty Pedder,M/AM (C),7.09,7.09,14,12,1,10,13,11,10,14,3,3,1,8,9,11,12,1,10,7,9,4,14,9,2,10,6,1,10,7,9,7,1,11,7,9,10,10,10,12,2,3,10,12,10,11,14,3,- -  -,Inj,13
Teddy Jenks,"DM, M/AM (C)",7.08,7.08,15,12,3,12,14,8,11,14,1,2,2,9,10,12,13,3,11,15,9,6,8,12,3,14,9,2,7,9,9,9,2,11,14,9,6,7,13,12,1,2,13,11,10,9,11,2,- -  -,,14
Josh Eccles,"DM, M (C)",7.06,7.06,13,12,1,11,15,10,9,14,1,3,1,10,8,11,10,1,9,13,10,5,10,8,1,8,9,3,9,8,10,7,3,9,15,10,8,9,10,10,1,2,11,10,10,10,13,2,- -  -,,10
Callum Rowe,"WB (L), DM, M (LC), AM (L)",7.06,7.06,11,12,3,12,11,11,9,12,1,1,4,9,3,11,11,2,9,13,9,8,5,8,3,9,6,1,3,10,10,8,3,8,14,10,11,6,10,9,1,2,9,9,12,11,9,1,- -  -,Inj,13
Callum Nicolson,"DM, M (C)",7.05,7.05,14,15,4,12,8,9,6,10,3,3,1,9,3,9,8,2,9,12,6,4,9,5,2,8,1,3,7,5,13,8,3,4,8,13,7,7,8,11,2,3,8,8,7,7,12,2,- -  -,Loa,6
Charlie Carter,"M (RC), AM (C)",7.05,7.05,14,12,1,11,10,9,11,12,4,2,1,9,10,12,10,2,14,13,6,4,10,7,4,13,12,2,9,11,12,10,2,11,12,9,10,5,10,9,1,1,10,10,12,9,9,2,- -  -,,9
Zak Brunt,M/AM (C),7.05,7.05,10,13,2,13,10,6,9,8,3,2,3,7,11,12,12,1,9,9,5,4,10,3,3,7,5,2,10,13,9,10,1,12,18,9,8,9,10,11,1,1,9,11,13,12,14,1,- -  -,Wnt,13
Jack Evans,"DM, M (C)",7.05,7.05,12,11,1,11,13,13,13,11,2,3,3,12,6,11,11,3,7,15,10,4,5,7,1,12,9,2,6,7,11,5,1,9,12,10,6,7,12,9,3,3,14,7,12,12,10,3,- -  -,Wnt,9
