Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Mark Helm,M/AM (C),7.29,7.29,14,10,1,12,14,7,8,14,2,1,2,3,10,13,12,3,11,16,3,2,11,3,3,6,5,3,15,14,13,10,1,10,15,10,10,12,8,10,3,2,7,10,10,12,11,1,- -  -,,13
Vaughn Covil,"M (RL), AM (RLC), ST (C)",7.24,7.24,11,8,2,12,7,5,9,11,1,4,2,6,2,10,13,1,10,10,5,7,8,2,2,8,7,2,9,9,10,9,3,12,11,8,11,8,8,10,3,4,9,8,8,13,7,1,- -  -,,13
Michael Jacobs,"M (RL), AM (RLC)",7.15,7.15,13,12,1,12,9,6,8,10,1,2,1,6,9,10,8,2,11,10,5,3,11,5,3,9,7,1,9,12,12,9,2,10,9,9,11,12,8,11,2,3,9,7,8,8,5,3,- -  -,,9
Rodrigo Vilca,"M (C), AM (RLC)",7.14,7.14,9,13,3,13,8,6,6,11,1,1,1,5,11,15,12,2,10,7,6,6,10,7,1,6,8,3,11,13,14,8,3,15,10,12,11,14,8,11,2,1,8,6,10,12,8,3,- -  -,,13
Cameron Cresswell,"M (R), AM (RLC), ST (C)",7.12,7.12,16,8,1,8,11,4,6,7,2,3,2,10,11,6,13,3,12,13,5,5,5,7,2,9,8,3,8,10,7,12,2,8,7,8,6,5,10,8,4,2,9,9,14,7,12,2,- -  -,,12
Jason Law,"WB (RL), M (RLC), AM (LC), ST (C)",7.10,7.10,12,13,2,10,12,7,9,13,3,3,3,7,9,11,10,2,10,15,7,8,7,5,1,9,6,1,7,9,11,8,1,10,4,9,9,9,9,10,1,2,10,10,8,11,7,1,- -  -,Wnt,12
Dom Plank,"M (R), AM (RC), ST (C)",7.09,7.09,8,13,1,9,6,4,9,13,2,3,2,6,2,9,13,3,11,10,3,4,6,11,3,7,5,1,5,10,9,9,3,11,11,9,6,2,6,7,2,3,3,10,9,11,5,1,- -  -,Wnt,13
Cameron Congreve,"M (C), AM (RC)",7.07,7.07,10,12,2,14,8,5,12,12,1,1,3,7,11,10,12,3,12,13,4,4,13,6,1,13,7,2,16,16,12,9,3,14,15,11,10,8,9,12,2,1,10,14,10,13,8,2,- -  -,,12
Charlie Carter,"M (RC), AM (C)",7.05,7.05,14,12,1,11,10,9,11,12,4,2,1,9,10,12,10,2,14,13,6,4,10,7,4,13,12,2,9,11,12,10,2,11,12,9,10,5,10,9,1,1,10,10,12,9,9,2,- -  -,,9
Zak Brunt,M/AM (C),7.05,7.05,10,13,2,13,10,6,9,8,3,2,3,7,11,12,12,1,9,9,5,4,10,3,3,7,5,2,10,13,9,10,1,12,18,9,8,9,10,11,1,1,9,11,13,12,14,1,- -  -,Wnt,13
