Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
GK,,Thomas McGill,GK,6.98,11,11,9,12,10,9,3,11,14,8,14,11,11,3,10,12,13,1,11,1,2,3,9,14,14,7,12,7,1,9,2,4,1,12,10,2,3,12,10,13,11,13,8,10,13,9,12,16,5,6,13,6,13,11,12,12,12,16,14
DCR,Yel,Ollie Younger,D (C),7.24,11,11,6,2,10,12,11,13,12,1,4,2,13,5,8,11,3,6,10,12,7,2,9,2,14,12,2,5,4,7,8,4,6,14,12,5,3,11,14,1,2,12,10,13,6,11,10,15,7,6,13,5,11,12,12,15,10,15,1
S2,,Michael Stickland,D (C),7.15,11,10,11,2,13,9,10,14,13,2,1,1,9,5,10,13,2,8,12,11,6,5,12,2,17,11,1,1,6,8,2,3,2,13,10,4,4,13,10,2,2,15,10,11,7,9,12,13,5,6,4,5,12,13,13,12,13,7,1
DL,,Ryan Galvin,D (LC),6.91,12,12,6,2,9,12,12,11,12,1,1,1,9,9,7,11,3,9,15,12,6,4,12,3,14,8,3,1,5,8,5,1,12,14,12,10,5,12,7,2,1,11,10,11,13,7,11,11,1,13,10,6,13,10,13,10,14,16,2
DCL,,Lewis Shipley,D (LC),6.98,11,11,10,3,11,11,12,14,12,2,1,1,12,4,12,13,1,6,13,13,9,4,11,2,12,11,3,4,6,7,3,2,6,13,13,5,3,13,12,1,1,13,11,12,9,9,12,11,5,6,8,4,15,11,13,12,13,13,2
-,Req,Terell Thomas,"D (C), DM",6.78,9,13,8,1,8,9,10,11,11,3,1,1,12,3,9,10,3,5,15,10,8,4,9,2,13,12,3,3,3,9,4,3,10,14,11,6,4,12,12,3,4,14,8,12,9,11,12,17,3,7,8,12,14,12,14,11,15,15,1
S5,,Joshua Williams,"D/WB (R), M (RC)",6.98,12,11,10,1,9,10,11,10,12,2,3,2,10,7,10,12,3,10,12,12,9,9,8,1,12,10,3,10,11,9,8,2,11,14,11,11,9,10,7,3,1,12,10,9,10,11,12,14,4,9,10,5,12,12,13,14,17,13,1
DR,,Aaron Lewis,D/WB (RL),6.59,10,12,10,1,12,12,10,8,10,3,3,3,10,14,11,9,4,9,12,12,16,10,8,3,7,7,3,11,11,10,6,2,9,12,11,9,12,11,10,2,2,13,11,9,8,14,15,15,5,11,10,3,10,10,13,8,9,17,2
-,Inj,Mitch Clark,"D (RLC), WB (RL)",-,11,13,10,3,11,12,11,10,11,3,1,2,12,8,12,11,2,11,12,10,10,9,9,1,8,11,3,8,8,11,9,2,9,15,12,11,8,13,11,2,2,12,11,12,11,11,10,17,4,9,10,7,10,11,12,12,11,17,2
S1,,Arkell Jude-Boyd,D/M/AM (R),6.75,13,9,6,2,14,8,10,7,14,1,1,3,8,5,12,11,3,9,14,10,5,3,14,1,10,6,1,6,15,11,12,3,14,11,12,13,8,5,5,3,3,8,13,13,12,5,12,17,2,7,6,6,13,11,11,10,19,14,2
