Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Hol,Thomas McGill,GK,6.96,10,10,8,9,9,9,3,10,14,8,13,11,9,3,9,11,12,1,11,1,2,3,8,13,13,7,11,7,1,8,2,4,1,13,9,2,3,11,9,12,9,13,7,8,12,9,12,15,5,6,13,7,13,12,13,12,12,14,13
-,Hol,Danny Brandl,GK,-,8,6,2,4,1,4,1,4,2,13,7,9,5,3,5,8,4,1,16,1,1,3,11,5,9,1,13,7,2,1,1,2,3,16,11,2,3,7,3,6,12,6,8,4,7,13,11,8,2,8,13,5,17,10,10,19,12,9,7
-,Hol,Kacper Łopata,D (C),6.90,10,10,9,3,9,8,12,13,10,1,2,2,12,4,9,9,1,8,14,11,3,4,10,1,15,14,3,5,6,7,4,2,4,10,13,5,4,13,9,3,1,12,9,12,10,10,10,13,3,8,8,8,14,10,13,12,16,7,1
-,Hol,Giles Phillips,D (C),7.15,11,12,7,2,8,9,11,13,14,3,2,3,10,3,6,11,1,8,14,10,5,3,12,1,14,11,1,3,7,8,5,1,5,12,11,4,4,12,9,3,2,14,8,12,10,10,12,15,7,8,11,5,11,11,11,10,5,12,1
-,Hol,Ricardo Sosa,D (RC),6.45,11,13,6,3,9,15,10,10,14,1,1,3,12,2,7,10,2,8,15,6,5,2,9,1,7,8,4,1,3,7,3,2,5,13,13,5,4,11,7,2,1,14,15,12,10,11,11,7,12,6,13,7,11,15,14,10,8,8,3
-,Hol,Dominic Revan,D (RLC),6.88,12,12,10,1,12,12,12,13,10,1,3,2,13,4,12,13,3,10,6,8,8,3,11,2,13,12,1,2,8,9,1,1,8,10,10,3,2,11,8,2,1,11,11,11,11,13,12,11,3,10,13,15,11,9,12,11,20,14,1
-,Hol,Kane Smith,D/WB (R),6.91,13,13,11,2,10,10,12,11,8,2,2,2,10,5,7,14,2,14,16,9,5,10,7,1,7,11,2,10,11,9,6,1,12,16,8,14,5,12,8,3,2,12,8,11,10,6,14,16,2,5,12,3,12,11,9,10,11,13,1
-,Inj,Sam Woods,"D (C), DM, M (C)",6.86,8,13,13,1,10,15,10,11,10,1,2,3,10,4,11,8,2,8,7,12,8,6,11,2,12,11,2,5,5,11,6,1,7,7,12,6,5,10,12,3,3,8,13,12,6,13,11,14,3,9,15,4,13,12,12,10,8,12,2
-,Hol,Christian Anaba,"D (C), DM",6.84,9,8,10,2,8,7,12,15,15,2,1,2,8,5,9,12,1,9,11,9,8,7,9,3,10,14,2,8,8,9,3,1,8,16,12,8,6,14,8,2,3,15,16,13,10,10,14,7,5,9,12,9,10,11,15,13,16,8,1
-,Hol,Ashley Graydon,"D (C), DM",-,9,5,4,1,6,7,7,8,8,1,2,3,10,3,5,9,2,4,14,7,4,3,8,2,14,7,3,1,4,4,4,2,5,12,7,2,5,8,5,1,1,9,12,7,7,13,6,11,5,8,14,7,18,15,11,16,19,13,3
-,Inj,Shamal Impey,"D (C), DM",-,8,9,5,1,6,6,12,10,8,1,1,3,8,4,8,8,1,4,13,8,5,3,1,1,9,7,1,6,3,7,5,2,5,11,7,3,4,6,8,1,2,14,8,8,7,10,13,8,5,17,14,7,11,11,18,17,15,10,2
-,Hol,Mason O'Malley,D/WB/M/AM (L),6.86,12,12,9,2,8,13,12,10,10,1,2,4,12,3,10,12,1,7,12,9,5,6,6,2,9,10,2,13,9,9,7,1,8,4,10,12,16,12,10,1,1,10,7,11,10,9,8,15,8,7,10,8,10,10,11,8,20,12,2
-,Inj,Darragh Leahy,D/WB (L),-,12,12,9,1,8,12,11,10,10,1,3,1,12,10,8,12,1,10,13,11,8,10,12,3,14,10,3,8,11,10,7,4,9,13,10,11,8,8,10,4,1,12,11,9,12,8,15,13,4,5,8,4,14,13,16,13,13,10,3
-,Hol,Inglian Parrett,"D (C), DM, M (LC), AM (L)",6.75,10,13,7,2,8,10,11,12,14,3,2,1,9,4,10,12,4,9,14,11,5,5,13,1,12,6,2,3,4,4,4,2,8,11,10,5,3,10,8,2,3,8,8,13,10,14,16,14,10,8,7,5,5,7,14,12,14,9,2
-,Hol,Ross Smith,D/WB (L),6.69,12,15,6,2,10,11,12,10,14,3,1,2,9,3,8,13,2,5,10,6,4,1,9,2,13,10,2,4,9,7,2,2,7,17,10,11,5,11,8,4,3,7,10,8,12,7,15,16,8,12,12,5,9,15,8,12,11,7,3
-,Hol,Nya Kirby,"DM, M/AM (C)",6.86,13,10,12,2,12,8,10,10,14,2,1,2,8,11,11,13,1,11,12,6,1,11,11,1,7,7,2,9,11,12,9,1,9,14,11,9,10,9,13,1,3,9,8,10,12,8,9,13,6,7,16,4,11,10,11,10,20,12,1
-,Hol,Χαλβας,"DM, M (C)",6.89,12,12,10,2,9,12,8,9,14,2,2,2,11,9,10,11,1,12,12,9,5,7,5,2,9,9,2,9,10,11,10,1,10,6,12,9,9,11,10,2,2,9,9,14,10,10,12,13,4,11,11,5,12,12,12,11,11,16,3
-,Hol,Ben Williams,"DM, M (LC), AM (C)",6.69,6,8,12,1,15,13,6,6,6,2,2,3,6,5,10,9,2,12,11,4,3,5,11,2,5,4,1,6,10,10,9,3,8,13,13,4,6,3,12,1,4,6,11,10,11,9,5,8,3,9,14,5,17,15,12,16,19,9,2
-,Hol,Carl Lashley,"WB (R), M (C), AM (RLC)",6.66,11,14,9,3,13,16,4,6,14,3,1,4,6,4,13,9,2,12,12,5,3,6,5,1,3,9,3,7,12,12,7,1,10,17,13,12,6,11,10,3,3,5,10,8,12,6,19,15,7,8,8,8,13,11,10,12,13,9,2
-,Hol,Darico Chandler,"DM, AM (RC), ST (C)",7.26,8,10,11,3,11,6,6,10,10,1,1,3,9,6,11,12,3,9,11,3,5,6,11,2,17,15,2,10,11,14,8,4,10,14,13,6,8,4,9,1,3,9,15,10,11,11,12,7,6,10,14,8,10,11,14,18,15,14,3
-,Hol,Connor Bailey,"M (C), AM (RC), ST (C)",6.82,15,7,7,3,13,9,1,7,12,3,3,2,6,3,7,14,2,8,12,1,2,5,12,2,10,5,2,7,14,12,6,2,11,9,10,9,5,6,7,1,2,14,13,11,11,5,10,10,5,11,8,9,13,10,15,12,14,8,1
-,Hol,Callum Harriott,M/AM (RL),6.70,12,11,11,1,11,9,6,6,9,1,2,2,6,11,9,11,3,11,12,5,3,13,6,2,4,3,1,11,14,10,11,3,13,14,9,11,12,9,12,1,3,9,10,9,13,10,10,16,5,5,10,13,12,8,8,12,8,15,3
-,Hol,Scott Robertson,"M (C), AM (RLC)",6.94,11,15,12,1,13,13,10,12,14,2,2,2,8,11,10,11,2,10,13,8,3,9,8,1,12,8,3,8,9,10,10,3,11,12,10,9,9,8,12,2,3,11,13,10,11,11,14,11,3,8,12,7,12,9,9,9,11,12,3
-,Hol,Idris Kanu,"M (R), AM (RLC), ST (C)",6.92,14,7,10,4,10,7,7,10,12,1,3,2,8,9,7,13,2,11,13,3,4,8,7,2,10,7,3,4,13,9,7,3,13,13,8,8,5,7,10,3,1,8,13,10,14,8,15,13,4,3,5,5,8,8,11,9,8,13,2
-,Hol,Kian Breckin,"M (C), AM (LC), ST (C)",6.85,14,12,13,2,13,12,9,8,11,3,1,1,9,5,12,12,1,12,15,6,4,9,2,1,8,6,3,6,12,13,12,2,10,4,13,5,6,5,10,4,1,4,14,10,11,15,12,9,4,9,5,5,13,12,12,12,11,13,1
-,,Brian Garcia,"M (C), AM (L), ST (C)",6.67,12,9,10,3,9,7,3,12,11,4,2,1,4,8,10,11,1,10,14,4,4,10,13,3,14,7,1,5,12,9,8,3,6,13,12,6,5,5,12,3,3,7,15,7,11,9,9,12,4,13,15,14,12,13,10,12,16,12,3
-,Hol,Rob Hall,"AM (RLC), ST (C)",6.90,8,10,10,1,13,10,6,7,8,3,1,1,7,6,10,10,3,12,11,6,7,12,8,2,6,6,3,14,14,12,11,2,12,13,9,12,14,9,12,1,4,10,9,11,8,8,14,14,6,5,10,14,8,9,12,12,12,16,1
-,Hol,Joe Nuttall,"AM (RL), ST (C)",7.01,10,10,10,1,9,11,7,12,14,1,1,2,7,9,9,11,2,12,14,6,6,8,7,1,14,10,1,9,8,9,11,2,7,5,8,7,7,9,9,2,4,10,12,13,10,9,15,13,4,9,7,4,9,10,12,3,12,13,1
