UID,Name,Position,Tcon/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43167654,Juan Manuel Ramos,D/WB (L),0.89,13,12,12,10,15,13,12,10,13,13,11,11,11,12,11,11,9,13,13,12,9,13,13,15,9,11,13,12,10,8,6,13,13,12,12,12,3,1,3,1,3,4,4,3,2,1,3,- -  -,
18044106,Jordan Lukaku,D/WB/M (L),1.60,14,10,13,9,14,14,10,16,14,12,13,11,9,12,14,12,5,14,12,15,8,14,4,13,12,8,14,2,4,2,2,12,11,11,12,13,3,1,1,3,3,2,3,3,1,1,1,- -  -,
2002083211,Josh Pritchard,D/WB (R),1.18,13,12,10,5,11,13,13,9,16,10,7,6,11,12,7,11,9,7,10,13,8,12,4,9,7,2,7,2,4,4,4,7,11,6,10,10,3,1,1,2,3,3,4,3,1,3,1,- -  -,
2000191306,Lewis Colwell,D/WB (R),0.46,13,10,7,13,11,9,11,5,9,4,6,5,5,6,15,5,11,5,5,6,4,6,4,5,3,4,7,2,5,3,2,5,5,3,6,5,3,4,1,2,1,3,1,1,2,3,1,- -  -,
2002109589,Yaw Sarkodie,D/WB (L),1.58,6,7,12,12,15,6,9,6,4,6,6,7,6,9,8,4,5,5,5,11,6,10,3,6,3,6,7,2,6,4,2,5,7,4,6,9,3,2,1,3,2,1,1,2,2,2,1,- -  -,
2002094865,Charlie Teale,"D/WB (RL), M (R)",0.77,13,10,11,6,14,10,13,7,11,8,7,6,10,8,6,6,5,4,8,10,7,14,6,7,4,3,7,3,5,3,4,8,7,5,7,5,2,2,2,4,1,1,3,4,3,2,3,- -  -,
29141882,Tom Pearce,D/WB (L),1.14,14,13,13,12,13,13,14,12,7,13,14,12,12,12,13,12,6,10,11,12,9,13,5,14,12,5,10,5,9,7,8,11,9,4,11,12,1,1,1,2,1,2,3,2,3,3,2,- -  -,
25019787,Pavel Kadeřábek,D/WB/M/AM (R),1.51,14,11,14,11,14,15,16,14,13,11,15,8,14,10,16,10,12,14,12,14,10,16,7,14,10,9,10,7,11,11,15,12,10,11,13,10,1,2,3,3,1,3,3,2,2,3,2,- -  -,
29236491,Lynford Sackey,D/WB/M/AM (R),0.65,14,10,11,10,13,13,14,12,7,9,7,12,7,5,12,7,10,11,9,8,6,10,10,10,9,8,9,7,7,9,4,7,9,2,7,12,1,1,3,1,2,4,3,1,3,1,1,- -  -,Inj
92021287,Marvin Plattenhardt,D/WB (L),0.99,10,8,12,8,12,7,10,8,10,12,12,13,13,13,13,10,12,12,12,16,14,12,15,16,9,7,14,17,8,11,16,10,13,9,12,15,2,3,3,1,2,3,1,3,1,2,1,- -  -,
2000108697,Zain Silcott-Duberry,"D/WB/M (RL), AM (RLC)",0.88,15,12,9,12,14,15,12,9,11,8,4,10,9,9,7,15,9,7,6,5,10,8,5,8,13,6,8,5,5,6,2,5,10,2,4,11,2,3,1,3,2,3,3,1,1,3,1,- -  -,
2000216559,Michal Rosiak,"D (R), M/AM (C)",1.20,12,10,14,6,14,12,11,9,14,9,8,13,9,16,15,8,9,10,7,13,13,10,5,9,12,5,13,7,8,6,7,5,12,3,7,12,2,1,4,3,2,3,1,1,1,3,2,- -  -,Wnt
61084180,Jack MacKenzie,D/WB (L),1.26,15,13,14,12,13,15,14,12,8,15,11,11,12,11,16,7,9,10,12,14,10,15,7,10,12,4,10,2,9,8,12,11,11,9,13,8,1,2,2,4,2,2,1,3,1,2,3,- -  -,
95035991,Adrià Pedrosa,D/WB/M (L),1.60,15,15,13,7,13,15,14,11,15,15,12,11,10,16,3,9,7,15,13,13,11,13,12,15,13,11,13,8,11,10,10,13,14,7,12,13,3,2,3,3,2,3,2,4,3,3,2,- -  -,
