UID,Name,Position,Pr passes/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
61078249,Ryan Nelson,M/AM (RC),0.00,13,12,3,4,10,10,11,5,16,11,13,9,7,11,14,13,8,11,6,10,12,12,12,12,11,9,12,7,3,11,2,4,11,9,7,13,3,3,3,3,2,2,1,1,2,3,2,- -  -,
29141175,Luca De La Torre,"M (RC), AM (RLC)",0.00,11,14,13,6,15,13,13,10,9,9,9,11,11,12,12,12,8,13,8,13,12,13,5,8,14,7,12,10,7,9,3,6,14,10,4,14,1,1,1,3,3,2,3,1,2,2,2,- -  -,
19284049,Matheusinho,"M (L), AM (LC)",0.00,15,16,10,5,13,14,14,6,8,14,12,13,11,12,14,15,8,14,3,13,13,13,11,13,14,9,14,11,6,8,5,4,13,12,4,14,2,2,2,1,3,4,3,2,1,3,2,- -  -,
67294886,Gabri Veiga,M/AM (C),0.00,14,13,14,15,11,13,15,12,15,14,9,14,13,13,15,12,13,15,12,12,14,15,12,11,14,12,14,11,12,12,7,12,16,10,11,14,3,3,3,2,3,4,3,2,3,2,2,- -  -,
2000086348,Quévin Castro,"M (C), AM (RC)",0.00,15,14,11,15,8,14,12,13,12,8,4,12,7,7,15,12,5,14,6,5,13,8,7,9,15,7,11,10,7,12,2,3,13,3,5,13,3,3,3,2,3,1,1,2,2,2,3,- -  -,Inj
83111737,André Franco,M/AM (RLC),0.99,12,15,16,6,13,13,13,8,11,14,9,15,12,16,11,13,9,15,10,13,16,12,14,14,15,14,16,12,8,13,4,5,14,13,4,18,2,3,2,2,1,3,2,3,3,2,2,- -  -,
2000132575,Kyrie Pierre,M/AM (C),0.58,14,13,9,2,9,14,9,3,11,5,6,10,6,13,2,13,9,12,4,7,9,4,6,5,9,7,12,5,5,8,2,6,13,3,8,12,3,3,3,4,1,2,1,2,2,1,3,- -  -,
28086151,Liam Smith,M/AM (C),0.00,8,12,7,7,13,10,8,3,7,10,3,11,5,11,14,12,4,10,6,12,12,8,8,5,5,5,9,6,4,7,1,6,11,4,4,9,3,1,1,1,2,3,2,2,1,3,2,- -  -,
28128053,Lucas De Bolle,M/AM (RLC),2.51,13,12,9,8,11,14,8,7,14,9,7,9,7,12,13,14,14,12,11,7,10,8,6,6,9,9,13,6,7,8,2,4,14,6,6,12,1,2,1,1,3,2,3,2,1,3,1,- -  -,
2002101033,Kevin Armijos,M/AM (C),0.00,7,9,7,5,13,9,13,7,7,8,9,7,6,7,11,6,6,6,7,13,10,17,8,4,6,5,5,10,5,6,4,9,9,5,5,9,1,2,2,4,2,1,3,4,1,3,3,- -  -,
19229435,Malcom,"M (R), AM (RLC)",0.91,16,16,14,7,13,15,12,9,7,13,10,12,11,14,14,17,8,16,8,11,16,10,14,13,15,13,15,16,8,14,5,3,16,11,3,16,1,1,3,1,3,1,3,3,2,2,2,- -  -,Inj
2000197990,Finn Ashworth,M/AM (RC),2.00,15,14,11,3,16,12,13,6,15,9,3,13,3,11,8,14,7,10,1,6,12,11,1,5,9,6,12,4,1,5,5,1,11,7,2,13,2,3,4,3,1,2,2,3,2,3,2,- -  -,
2000117437,Bailey Hobson,"M (R), AM (RC)",2.05,9,11,13,8,12,11,14,11,10,9,12,11,7,9,15,10,7,12,5,11,9,14,5,7,9,10,9,8,7,13,5,4,9,5,4,9,1,2,1,3,3,3,3,3,2,1,2,- -  -,Opt
83174759,Fábio Vieira,"M (C), AM (RLC)",3.03,15,16,16,6,14,15,13,11,13,15,12,15,13,16,15,15,13,15,11,12,18,14,15,15,16,12,17,16,9,13,5,7,17,14,8,18,1,3,1,1,2,3,3,3,3,3,1,- -  -,
28100242,Manu García,M/AM (C),0.00,13,13,13,6,14,12,10,9,11,12,11,12,12,14,14,17,11,15,12,12,16,13,11,11,13,9,16,14,5,8,6,8,15,8,8,16,2,3,1,3,1,1,1,2,1,1,3,- -  -,
2000209821,Alex Graham,"M (RC), AM (RLC)",0.00,15,9,9,3,11,11,11,7,8,5,4,11,2,11,5,10,7,8,2,6,11,8,5,10,12,7,10,5,4,12,5,4,10,3,5,8,3,3,3,3,2,3,2,3,2,3,1,- -  -,Opt
2002090720,Tengo Abelashvili,"M (RC), AM (C)",0.00,13,11,8,12,13,10,14,10,8,11,6,10,7,12,18,14,11,12,10,14,9,16,7,6,7,8,10,7,7,6,8,6,10,8,6,13,1,3,1,2,1,2,1,2,3,3,3,- -  -,
83320124,Mateus Fernandes,M/AM (C),3.33,14,14,14,17,13,14,14,12,13,12,10,14,14,14,14,13,10,14,9,12,16,12,13,13,15,11,16,9,11,13,7,10,16,11,8,17,2,1,1,2,4,3,1,3,1,2,2,- -  -,Ask
67225654,Braima Fati,M/AM (RLC),0.00,11,13,10,6,9,10,5,7,7,7,6,7,4,11,6,14,7,7,4,11,11,4,7,6,12,6,12,7,6,8,2,3,11,8,3,13,3,2,2,1,3,1,2,3,2,3,3,- -  -,
29193674,João Rangel,"M (RL), AM (RLC)",0.00,12,12,7,5,13,11,10,8,8,10,9,10,6,7,9,13,7,10,5,9,9,6,9,8,13,7,11,7,7,9,7,5,11,3,5,11,2,3,4,2,1,3,2,1,2,1,1,- -  -,
2002084495,Fuad Nuriyev,M/AM (RC),0.00,10,13,12,3,11,14,10,5,12,14,9,7,7,6,11,14,9,9,7,10,6,5,2,5,7,5,7,5,4,3,5,6,9,4,7,7,2,3,3,1,2,2,1,2,1,3,2,- -  -,
58147629,Eduard Spertsyan,M/AM (C),0.79,14,14,12,7,12,13,13,8,12,13,10,13,13,14,13,13,15,15,12,12,15,10,16,13,12,13,14,13,5,13,10,10,13,12,10,14,1,2,1,1,3,3,3,1,1,2,2,- -  -,
12066084,Ramadan Sobhi,M/AM (RLC),0.38,13,14,13,11,15,14,12,12,14,13,13,12,8,12,14,17,10,13,9,11,14,12,14,12,14,11,13,10,9,9,3,5,13,15,7,16,3,3,1,3,1,2,3,2,1,1,3,- -  -,
