Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Cody Pennington,"DM, M (C), AM (R)",7.31,7.31,15,10,2,12,13,13,7,16,3,4,1,10,5,11,15,3,7,13,10,4,6,12,4,8,9,1,8,7,12,7,3,11,17,9,9,12,12,8,1,3,15,11,12,16,15,1,- -  -,Inj,13
Teddy Jenks,"DM, M/AM (C)",7.29,7.29,15,12,3,12,14,8,11,13,1,2,2,9,10,12,13,3,11,15,9,6,8,13,3,14,9,2,7,9,9,10,2,11,14,10,6,7,14,12,1,2,11,11,10,9,11,2,- -  -,Inj,14
Harry Clifton,"DM, M (LC)",7.17,7.17,16,12,2,11,15,12,12,15,2,4,3,12,5,12,12,3,12,15,13,4,5,10,1,9,7,2,5,8,11,8,1,10,14,12,7,7,13,11,3,4,13,11,13,11,13,3,- -  -,,12
Jake Livermore,"D (C), DM, M (C)",7.10,7.10,15,12,3,11,16,12,11,10,1,3,2,13,6,11,6,3,12,15,12,6,10,14,1,12,11,2,7,9,11,8,2,8,13,12,8,9,13,12,4,1,12,11,14,5,14,3,- -  -,,6
Will Hugill,"DM, M/AM (C)",7.07,7.07,16,10,1,14,10,11,7,12,3,2,2,9,1,13,9,2,9,12,4,1,5,11,1,3,6,1,6,14,12,5,2,9,14,14,1,7,10,6,3,1,7,7,9,11,5,1,- -  -,,8
Matty Virtue,"DM, M (C)",7.06,7.06,16,11,3,13,14,13,12,15,1,2,3,10,10,11,11,2,11,12,10,6,14,11,1,9,8,3,8,7,12,10,3,10,15,11,7,7,10,11,2,2,13,9,12,8,11,3,- -  -,,11
Dan Sweeney,"D (C), DM, M (C)",7.04,7.04,11,7,2,9,12,12,17,12,1,3,4,9,7,11,9,1,5,15,9,5,7,10,2,16,13,1,6,6,11,6,2,8,12,9,5,5,8,11,1,2,12,10,10,8,14,1,- -  -,Req,9
Ben Close,"DM, M (C)",7.04,7.04,14,13,3,11,13,11,12,13,2,3,3,13,8,13,8,3,10,13,10,5,13,11,1,11,9,1,9,7,12,10,1,8,14,12,8,8,12,13,2,3,10,11,13,10,12,3,- -  -,Wnt,9
Matt Young,"DM, M (LC), AM (L)",7.03,7.03,11,12,3,12,12,4,7,8,2,2,2,8,4,11,12,3,10,8,4,3,10,10,1,4,9,2,12,6,10,9,1,9,7,9,8,10,8,12,2,3,6,9,8,13,13,3,- -  -,,11
Ryan Watson,"DM, M (C), AM (RC)",7.03,7.03,14,8,2,11,13,9,11,14,3,1,3,9,13,10,10,1,9,11,8,5,10,10,4,12,9,3,8,11,11,9,2,8,12,10,7,8,10,10,1,2,12,12,10,9,12,4,- -  -,,10
Adam May,"DM, M/AM (C)",7.02,7.02,13,13,3,12,14,11,12,14,3,1,1,12,8,12,10,1,12,14,11,6,12,9,3,13,12,1,10,9,11,12,3,10,15,10,8,12,11,11,3,1,12,11,13,11,11,2,- -  -,,11
