Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Chisom Afoka,"M (L), AM (RL), ST (C)",7.40,7.40,7,8,3,14,6,4,6,6,1,1,2,5,4,8,14,1,9,13,2,5,8,5,3,8,6,3,5,14,13,7,3,13,13,7,10,5,4,12,1,3,7,10,8,14,8,4,- -  -,Wnt,14
Vaughn Covil,"M (RL), AM (RLC), ST (C)",7.18,7.18,11,8,2,12,7,4,9,11,1,4,2,5,2,10,12,1,10,11,5,7,8,2,2,9,7,2,9,9,10,9,3,12,11,8,11,8,7,10,3,4,7,8,8,13,7,1,- -  -,,13
Chris Willock,"M (L), AM (RLC), ST (C)",7.18,7.18,11,11,3,12,12,4,9,9,3,2,1,4,8,10,12,3,10,11,4,2,12,4,3,6,4,2,7,12,12,9,3,13,12,11,11,8,6,13,2,1,9,13,9,13,7,4,- -  -,Opt,12
Harry Clifton,"DM, M (LC)",7.17,7.17,16,12,2,11,15,12,12,15,2,4,3,12,5,12,12,3,12,15,13,4,5,10,1,9,7,2,5,8,11,8,1,10,14,12,7,7,13,11,3,4,13,11,13,11,13,3,- -  -,,12
Sam Folarin,"WB/M/AM (R), ST (C)",7.15,7.15,10,9,1,8,11,5,10,10,2,2,4,6,7,9,13,2,8,11,6,6,10,9,2,9,7,3,6,13,8,9,3,11,12,8,10,8,7,8,1,3,10,9,8,13,9,2,- -  -,,14
D'Margio Wright-Phillips,"M/AM (R), ST (C)",7.13,7.13,10,7,3,9,9,5,9,13,3,1,1,8,12,8,12,2,12,11,5,4,7,11,2,10,7,2,2,11,7,10,1,11,13,7,11,7,10,7,1,1,8,12,10,13,2,3,- -  -,,17
Ashley Nathaniel-George,M/AM (RL),7.10,7.10,12,8,3,9,9,4,7,8,3,3,1,5,8,9,13,1,8,11,4,2,11,6,1,7,7,2,8,16,9,10,1,11,9,8,10,5,5,7,1,3,9,12,8,13,6,3,- -  -,,13
Armstrong Oko-Flex,"M/AM (RL), ST (C)",7.10,7.10,9,8,1,10,8,7,4,10,2,1,2,6,4,8,14,3,12,9,6,7,7,7,3,14,5,2,7,11,12,12,1,12,5,10,8,5,7,8,2,3,8,13,10,12,13,1,- -  -,,13
Max Wright,"M (RL), AM (R)",7.09,7.09,11,9,1,9,8,6,8,10,1,3,1,6,5,9,13,2,10,13,5,6,10,5,2,9,6,2,7,8,10,9,1,11,14,9,10,7,9,9,1,3,8,12,9,12,8,3,- -  -,,13
Alvaro Ruiz Rente,M/AM (R),7.06,7.06,13,8,2,14,8,6,9,12,2,2,1,1,3,12,15,1,13,13,3,6,3,2,2,5,8,3,7,16,14,12,2,13,16,12,13,8,6,7,1,3,8,10,9,15,13,1,- -  -,Wnt,14
CJ Hamilton,"M/AM (RL), ST (C)",7.05,7.05,15,8,2,8,13,6,6,11,2,1,1,8,9,9,16,1,13,13,7,6,6,8,3,8,5,2,4,10,7,8,2,10,12,7,10,4,9,9,2,1,4,7,8,12,5,2,- -  -,,17
Stephen Duke-McKenna,"M (RL), AM (RLC)",7.00,7.00,13,12,3,12,11,7,7,12,1,2,1,7,5,10,13,3,12,12,10,9,7,4,3,6,10,1,10,12,9,6,1,13,9,10,12,10,10,11,1,3,12,13,12,12,12,1,- -  -,Wnt,12
Adam Reach,"D/WB (L), M/AM (RLC)",6.99,6.99,14,11,1,11,14,7,9,11,1,2,1,10,7,12,11,3,11,12,8,8,13,13,3,11,12,2,12,11,8,10,1,9,14,9,12,10,11,12,2,1,11,12,10,8,7,3,- -  -,,10
George Thomson,"D/WB (R), M (RLC), AM (RC)",6.99,6.99,12,10,1,11,10,4,7,7,1,2,2,4,8,11,7,3,11,9,3,2,12,10,3,9,8,2,8,12,10,10,3,9,10,9,12,11,5,11,3,1,11,7,9,6,7,1,- -  -,,7
Shilow Tracey,"M/AM (RL), ST (C)",6.99,6.99,13,7,1,11,12,6,13,11,1,2,1,7,8,12,13,1,10,14,3,10,7,7,2,7,8,3,7,11,9,9,2,11,14,8,10,7,8,6,1,3,12,11,9,13,8,1,- -  -,,13
Davis Keillor-Dunn,"M/AM (RL), ST (C)",6.98,6.98,9,8,1,10,11,4,8,9,3,3,2,4,8,9,11,3,11,9,4,7,12,7,3,4,4,2,5,11,7,11,3,10,14,7,9,11,5,10,1,2,9,8,7,10,10,1,- -  -,,12
Caolan McBride,M/AM (R),6.98,6.98,9,9,2,13,8,6,8,10,4,1,3,4,3,11,12,2,7,14,6,6,7,3,2,12,5,1,7,7,14,9,1,11,5,12,11,8,6,10,2,1,6,10,9,13,5,2,- -  -,Wnt,11
Lucas Cooper,M/AM (R),6.97,6.97,11,7,2,9,7,5,5,9,2,2,2,2,3,9,11,1,7,14,3,6,6,6,1,2,5,1,4,7,8,4,3,10,9,8,12,6,3,11,3,3,7,7,10,13,8,2,- -  -,Loa,13
Malachi Sharpe,"M/AM (RL), ST (C)",6.97,6.97,8,3,2,12,5,1,5,8,3,3,2,3,2,9,14,2,12,14,1,5,2,12,1,2,5,1,4,11,12,8,4,12,6,7,10,4,4,4,1,3,7,9,3,17,13,1,- -  -,,14
Jordan Stevens,"M (RC), AM (RLC)",6.97,6.97,11,10,3,11,11,6,6,13,3,1,1,6,5,8,13,2,10,13,6,4,7,4,2,6,5,4,6,13,11,8,1,11,13,8,10,9,9,10,3,3,9,11,10,12,10,3,- -  -,,13
Luke Bolton,"D/WB/M (R), AM (RL), ST (C)",6.97,6.97,13,8,3,10,13,8,11,12,3,3,1,7,8,8,13,2,8,12,7,6,7,7,1,7,6,3,7,12,9,7,1,9,11,9,6,7,7,7,1,2,12,7,8,12,9,2,- -  -,,14
Michael Spellman,"M (L), AM (RL), ST (C)",6.96,6.96,8,8,1,10,4,3,6,12,2,2,2,3,6,9,12,2,10,10,2,3,11,8,2,9,4,3,9,11,12,8,3,13,5,7,12,8,7,7,1,1,5,9,9,11,9,1,- -  -,,11
