UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
75015629,Ronnie Fernández,ST (C),75%,11,11,15,14,16,11,13,15,15,13,16,11,11,3,15,6,16,14,7,14,11,14,5,8,9,13,9,8,15,10,6,6,12,13,8,11,1,1,3,1,1,1,3,2,2,1,2,- -  -,
2000188949,Jonathan Gómez,ST (C),85%,13,12,7,7,17,11,10,6,6,12,3,7,8,7,5,8,1,13,5,6,6,7,5,2,13,14,13,6,14,6,2,2,2,5,2,8,2,1,3,3,2,2,1,1,1,1,3,- -  -,
79013395,Christian Giménez,ST (C),65%,13,13,8,5,8,13,9,12,5,11,2,10,8,7,2,15,12,8,7,7,7,8,7,3,11,13,10,7,13,6,3,6,8,5,6,11,1,3,2,1,3,3,2,2,2,3,1,- -  -,
2000082049,Theylor,ST (C),88%,13,8,7,12,11,8,7,8,10,10,9,11,8,7,2,8,10,13,7,7,6,8,7,6,13,14,10,7,14,9,3,7,8,4,2,9,4,2,3,3,3,3,2,1,2,1,2,- -  -,
78096882,Nicolás García,ST (C),75%,15,9,10,13,12,12,8,11,10,10,7,11,9,7,2,12,4,9,10,9,5,10,7,8,9,13,10,9,14,9,4,9,8,7,3,14,1,3,4,1,2,1,2,4,1,1,3,- -  -,Unh
2000158455,Marcos Vinícius,ST (C),81%,13,13,7,9,9,13,9,6,5,7,6,9,5,8,3,9,11,13,5,6,5,7,6,4,13,13,12,6,13,5,3,5,5,3,1,9,2,3,2,2,3,2,2,3,1,2,1,- -  -,
78088275,Emiliano Villar,ST (C),69%,13,13,13,8,14,13,14,8,13,14,9,9,13,8,6,10,5,11,10,10,10,14,9,11,11,12,11,9,15,6,4,9,9,6,3,12,2,1,2,2,2,2,2,2,2,3,2,- -  -,
78085012,Brandon Barrera,ST (C),51%,13,11,7,10,15,12,12,6,10,11,4,9,6,8,13,13,7,11,3,5,5,7,6,5,12,12,11,10,12,6,1,5,5,4,1,13,1,1,1,2,3,1,3,1,3,3,3,- -  -,
78080184,Facundo Rodríguez,ST (C),61%,11,11,11,10,8,10,12,12,12,11,12,9,11,8,9,10,14,11,7,12,9,13,8,7,9,8,12,8,15,7,1,7,9,4,1,12,1,3,1,3,3,3,3,4,1,3,3,- -  -,
75049247,Gabriel Harding,ST (C),69%,11,11,12,14,14,12,13,13,9,14,10,10,8,8,11,10,8,12,5,10,9,12,4,7,10,10,12,6,13,7,3,4,11,8,7,11,2,2,3,3,2,1,2,2,2,1,2,- -  -,
