UID,Name,Position,Con/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000010612,Dylan Graham,GK,1.32,8,7,4,10,8,8,5,7,12,6,10,5,12,12,16,3,9,3,11,6,5,5,4,2,3,1,1,7,1,1,3,1,8,1,3,1,8,11,3,5,13,7,10,12,13,8,9,- -  -,
28118146,Calum Ward,GK,1.08,10,12,8,15,14,11,11,12,13,10,16,12,10,17,15,2,8,2,10,10,11,10,1,1,3,3,9,7,2,2,3,1,10,3,3,10,12,12,11,5,12,9,12,8,12,5,10,- -  -,
43030617,Luigi Sepe,GK,1.20,7,9,11,13,12,8,9,8,13,13,12,13,14,12,13,4,10,2,14,12,11,12,4,3,1,3,10,8,8,1,3,2,12,1,1,10,12,11,12,10,14,14,15,14,15,6,14,- -  -,
81014112,Kemar Foster,GK,1.26,8,10,11,11,12,8,8,11,6,13,10,11,11,11,8,1,8,3,9,11,10,10,4,2,3,1,2,6,2,1,2,1,12,3,2,6,11,11,10,5,10,10,10,7,10,12,9,- -  -,
29139608,Chris Renshaw,GK,1.23,9,10,8,10,3,9,9,14,8,8,9,7,11,9,9,2,10,10,10,6,7,6,4,1,1,1,6,6,6,3,1,3,8,1,1,8,13,9,12,10,10,8,10,9,12,8,10,- -  -,Opt
29176408,Liam Armstrong,GK,1.34,9,10,7,11,13,3,1,6,13,10,11,8,9,14,12,3,12,1,5,7,7,6,3,2,2,2,1,8,1,3,2,3,8,2,2,4,14,9,8,5,10,8,9,5,10,11,6,- -  -,
19376885,Marcelo Pitaluga,GK,1.48,11,15,13,15,12,11,12,11,12,13,11,9,13,10,15,12,13,2,10,9,10,11,4,1,1,1,9,7,1,3,2,3,9,2,3,8,15,15,13,13,14,9,13,14,13,15,11,- -  -,
2000031611,Eddie Beach,GK,1.01,13,7,9,13,12,10,4,5,8,8,15,10,9,14,14,3,12,3,11,7,6,6,2,3,1,2,2,3,1,2,1,3,9,3,1,5,13,11,9,7,11,7,10,7,9,8,11,- -  -,Opt
29058892,Danny Ward,GK,1.38,12,12,12,12,13,11,13,13,12,13,13,13,14,12,14,2,11,2,12,12,11,11,3,3,2,1,10,7,1,3,2,3,12,5,2,10,12,14,13,6,14,14,12,9,13,13,14,- -  -,
2000225809,Lenny Holder,GK,1.25,9,11,12,13,15,9,9,12,5,10,12,10,10,14,16,1,8,2,10,5,3,6,3,2,2,1,1,7,1,2,3,2,9,2,1,6,11,14,12,5,13,11,12,11,13,7,11,- -  -,Unh
67102156,Jaume Domènech,GK,1.53,12,16,9,11,11,10,11,10,13,13,16,11,14,12,17,3,15,1,13,13,8,14,6,2,2,2,12,8,1,1,2,3,11,1,1,11,11,13,15,6,13,13,16,15,17,9,15,- -  -,
