UID,Name,Position,Con/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24060905,Ivor Pandur,GK,0.80,10,13,12,16,16,13,11,13,8,12,13,11,12,12,16,6,14,4,14,12,10,12,4,1,3,3,9,7,7,1,2,2,12,4,1,9,13,12,11,8,14,13,14,14,13,11,14,- -  -,
67155103,Fernando Pacheco,GK,0.94,8,12,8,12,12,11,9,11,8,13,13,12,14,12,13,5,11,3,14,14,11,13,6,3,3,3,12,7,8,3,2,2,14,3,2,13,12,13,14,10,15,15,17,14,16,15,15,- -  -,
2002095965,Alexis Theodorou,GK,1.44,11,13,11,10,12,8,3,6,7,3,9,3,8,11,5,1,15,3,7,5,2,3,3,3,2,1,1,6,1,1,1,2,1,2,1,1,9,8,6,15,12,9,7,13,11,13,3,- -  -,
96131350,Žan-Luk Leban,GK,1.37,14,11,12,14,8,13,6,7,8,11,12,8,15,14,15,2,11,3,11,9,9,6,5,2,3,3,6,6,2,1,1,1,12,4,1,4,12,15,9,5,14,12,9,8,10,8,12,- -  -,
2000123639,Luca Gunter,GK,0.81,9,12,11,11,13,8,4,7,11,10,10,10,11,13,15,2,6,2,11,8,8,7,4,2,2,1,5,7,1,2,1,2,8,2,3,5,13,12,10,5,14,13,15,11,13,7,12,- -  -,
2002095789,Nixon Winfield,GK,1.37,6,12,13,13,12,7,4,6,11,8,8,6,6,11,18,2,2,1,10,4,9,6,4,1,3,3,3,7,1,3,1,2,6,3,1,7,12,13,6,6,7,9,9,5,9,13,7,- -  -,
28122332,Daniel Jinadu,GK,0.84,3,12,5,9,6,5,1,11,14,8,6,10,6,13,4,3,14,3,10,6,5,5,2,1,1,1,2,3,1,3,1,3,8,3,2,4,12,12,12,5,12,13,9,5,12,5,4,- -  -,
13161731,Djigui Diarra,GK,1.14,12,13,11,10,12,11,10,11,15,12,13,13,11,11,15,2,15,3,14,11,11,12,4,3,1,2,8,7,1,2,3,2,11,5,1,9,10,11,12,11,11,10,12,14,14,9,9,- -  -,
2000218450,Addison Bliss,GK,1.29,5,12,7,6,10,7,5,3,5,7,6,6,12,4,16,2,4,3,11,6,6,5,1,3,1,3,6,5,1,3,1,1,9,2,2,3,9,9,8,5,13,10,10,8,14,11,7,- -  -,
2000058004,Donnabhan Green,GK,1.47,9,14,4,7,7,8,1,2,5,5,8,3,5,11,12,2,5,1,8,4,2,2,3,2,2,2,1,6,1,2,2,2,5,3,3,1,8,5,8,5,12,11,5,9,11,6,5,- -  -,
48036990,Alban Lafont,GK,0.99,12,15,15,18,16,12,14,13,7,15,12,14,15,14,14,7,15,2,15,11,14,11,5,2,2,3,11,8,2,3,3,1,12,3,1,11,15,15,17,7,14,13,16,12,16,14,15,- -  -,
71012665,Maksym Koval,GK,1.25,11,12,12,14,16,11,6,13,8,11,14,13,10,10,15,4,8,5,14,12,5,13,4,4,3,3,6,5,4,4,11,3,8,3,6,6,12,14,12,1,13,13,15,6,15,9,14,- -  -,
43115047,Thomas Strakosha,GK,0.79,13,14,12,17,15,13,14,13,8,14,15,12,12,12,15,10,10,8,15,14,13,15,2,3,2,3,7,1,3,1,1,2,11,2,3,7,15,11,10,11,15,13,15,13,17,12,13,- -  -,
2002109842,Ignacio Filosa,GK,0.95,7,15,14,15,5,7,8,10,11,10,10,10,10,12,6,2,6,2,13,14,6,9,4,3,2,1,7,8,1,1,3,2,9,1,2,10,13,15,14,2,9,13,10,8,14,8,10,- -  -,
2002083993,Charlie Lowe,GK,1.14,1,5,2,13,12,1,7,3,13,4,7,4,9,7,12,1,5,2,10,9,2,11,2,1,2,2,1,4,1,3,2,3,3,2,1,2,12,8,9,1,13,5,6,9,11,7,3,- -  -,
61076917,Aidan McAdams,GK,1.51,9,17,9,12,14,4,3,4,11,10,9,8,14,13,13,1,2,1,7,9,7,7,2,1,2,1,1,6,1,1,2,1,7,3,3,4,13,6,11,2,11,6,12,5,13,8,10,- -  -,
29241322,Tobi Oluwayemi,GK,0.69,11,11,9,14,15,12,3,7,6,10,12,10,10,14,5,1,9,3,9,8,9,6,3,2,1,2,4,6,1,2,3,1,13,3,1,6,12,12,14,5,13,12,13,12,13,10,11,- -  -,
43378804,Stefano Turati,GK,1.00,13,15,14,15,12,13,14,14,10,13,11,13,15,13,15,4,15,8,16,12,10,14,6,3,2,3,8,9,5,1,6,1,9,2,1,9,15,15,14,8,15,9,18,10,16,11,16,- -  -,
62038612,Marko Dmitrović,GK,0.68,7,9,11,13,11,7,9,7,9,13,14,13,15,14,12,6,10,9,13,10,9,12,3,10,8,5,9,7,8,10,10,8,4,10,8,7,14,14,13,8,14,16,15,10,15,9,16,- -  -,
2002083422,Henrik Nielsen,GK,1.29,6,8,9,8,4,11,4,5,5,7,5,3,7,12,5,2,5,3,3,6,3,5,4,2,2,1,3,8,1,3,3,1,7,3,2,6,11,9,4,3,7,4,6,15,9,13,5,- -  -,
67200923,Unai Simón,GK,1.06,13,14,8,15,14,13,12,12,13,14,12,16,13,14,15,1,12,3,15,13,15,12,4,1,3,3,13,9,13,1,2,3,13,3,1,13,16,15,16,13,14,13,16,9,16,13,16,- -  -,
2002095958,Kevin Semple,GK,1.25,11,12,5,12,12,11,5,5,13,10,11,5,7,9,14,1,14,2,9,2,7,5,3,3,2,3,2,6,1,1,2,1,7,2,1,3,12,7,10,1,12,7,10,6,9,8,6,- -  -,
2000108243,Zak Baker,GK,1.38,7,8,6,8,12,8,2,5,9,5,8,6,5,13,13,3,10,1,9,4,4,3,1,1,1,1,1,4,1,1,1,3,6,2,2,3,12,8,10,5,11,6,7,15,12,12,6,- -  -,
92071859,Philipp Köhn,GK,1.07,12,13,13,15,15,12,13,12,11,12,13,13,12,12,13,4,10,3,15,13,10,12,2,5,4,2,10,3,5,7,8,5,11,5,6,8,14,13,12,6,13,11,15,12,15,15,13,- -  -,
19215609,Álvaro Montero,GK,1.03,12,15,12,17,14,11,13,13,11,14,11,12,13,13,12,7,14,10,13,12,14,13,4,3,1,2,8,6,8,1,3,2,12,3,2,11,14,14,12,6,15,13,15,12,15,11,13,- -  -,
29217819,Harvey Cartwright,GK,0.82,8,13,11,15,11,8,11,7,8,9,10,12,10,9,11,1,8,3,13,12,10,15,6,2,3,1,7,8,1,1,2,2,12,3,1,6,15,9,10,5,15,12,13,11,15,10,11,- -  -,
92076704,Kevin Broll,GK,1.22,12,12,11,12,18,11,9,8,9,11,14,10,10,13,12,3,4,3,13,10,11,10,5,3,2,3,7,7,1,2,1,2,8,3,3,8,11,12,13,5,15,15,11,5,13,8,14,- -  -,
43084560,Luca Lezzerini,GK,1.00,12,13,11,17,12,11,14,12,10,12,13,10,12,12,14,10,10,2,12,8,9,8,3,3,2,2,6,5,4,2,3,2,7,3,3,8,15,14,14,11,12,13,13,12,13,13,14,- -  -,Trn
28118051,Steven Benda,GK,0.83,12,15,12,18,12,9,11,14,12,14,13,10,14,10,12,12,11,8,13,12,12,11,1,1,1,3,7,1,8,3,1,1,11,1,1,7,16,16,13,10,13,9,16,11,13,11,11,- -  -,Wnt
25017267,Tomáš Holý,GK,1.04,6,6,11,18,12,7,14,16,2,11,12,8,11,11,13,2,4,2,9,11,8,10,2,2,2,2,8,6,7,2,3,2,10,1,2,10,20,12,10,10,12,15,10,12,7,9,12,- -  -,
2002091229,Carlos Méndez,GK,1.59,5,11,7,14,13,7,8,6,7,9,9,8,13,7,7,2,7,1,9,10,8,8,2,2,2,3,5,5,1,1,2,1,6,3,3,3,10,6,10,1,14,5,13,17,14,13,9,- -  -,
