UID,Name,Position,Con/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81002616,Andre Blake,GK,1.25,9,13,11,14,15,8,10,9,11,12,13,12,12,12,15,3,14,11,13,11,10,11,6,3,1,1,11,7,2,3,3,1,16,2,2,11,16,13,12,8,11,12,16,8,16,9,11,- -  -,
29218345,Murphy Mahoney,GK,1.25,10,10,7,8,8,11,1,4,9,6,8,7,9,14,4,2,13,2,7,6,6,5,2,2,1,2,1,5,1,1,3,3,7,3,3,2,13,7,7,5,10,6,7,10,13,9,6,- -  -,
19124580,César,GK,1.12,8,10,5,16,10,9,10,8,5,13,10,14,12,12,13,3,7,1,13,13,11,14,1,1,8,3,12,6,3,2,2,2,10,3,1,10,13,13,14,5,14,12,14,12,13,14,16,- -  -,Ret
19000030,Renan Ribeiro,GK,1.28,7,11,10,15,12,6,8,9,12,12,13,11,10,11,8,12,10,12,13,13,12,12,2,1,3,3,8,6,8,3,3,3,10,2,2,10,15,8,13,7,10,12,15,9,14,12,10,- -  -,
2000080954,Kacper Danielewicz,GK,1.39,9,8,7,14,12,9,2,7,10,7,15,6,7,13,18,2,9,3,8,4,3,5,2,2,3,2,1,3,1,3,2,1,6,1,3,1,9,7,5,15,8,4,7,7,12,13,4,- -  -,
29014171,Dean Lyness,GK,1.20,5,9,8,13,13,5,11,6,6,8,12,12,12,12,14,3,8,9,12,11,10,13,4,1,2,1,4,6,4,2,3,3,10,4,3,11,12,10,7,3,13,9,13,11,14,11,12,- -  -,
2002093679,Alejandro Seguessa,GK,1.18,10,14,4,9,12,9,8,4,15,8,8,4,7,11,14,3,4,2,11,9,7,11,5,1,3,2,5,8,1,2,1,1,9,1,1,9,11,4,7,10,6,10,5,7,11,5,5,- -  -,
2002109970,Branko Rašović,GK,1.65,4,9,10,11,11,7,3,4,6,9,6,4,6,11,11,1,6,1,10,3,6,6,3,1,3,3,1,6,1,3,3,3,4,2,2,6,8,8,10,2,14,7,7,7,7,11,7,- -  -,Yth
2000034782,Arlo Doherty,GK,1.33,9,14,6,10,16,6,3,8,12,10,12,8,10,13,6,1,5,2,8,6,6,2,1,2,1,3,1,6,1,2,1,2,6,3,1,2,11,9,9,5,13,9,8,9,13,7,11,- -  -,
