UID,Name,Position,ShT/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28049740,Harry Maguire,D (C),0.05,10,8,13,17,17,12,17,17,14,15,17,13,12,12,11,12,15,7,16,14,12,12,4,6,10,8,13,6,17,7,7,15,13,10,16,13,1,1,3,3,2,1,3,2,1,3,2,15,13,5,12,13,5,16,14,9,17,- -  -,
98029336,Kevin Mbabu,D/WB (R),0.20,15,12,13,12,13,17,16,13,16,11,15,11,10,11,16,11,7,12,11,12,11,15,4,11,14,7,11,4,11,7,18,11,11,7,15,12,3,2,2,1,1,2,4,2,1,1,1,14,13,16,12,11,12,8,10,11,9,- -  -,Set
29219001,Sam McCallum,"D (RL), WB (L)",0.04,15,13,12,14,15,14,14,13,13,12,14,13,11,12,15,5,8,12,12,11,11,13,10,12,11,8,11,6,14,11,15,12,10,11,13,9,1,1,3,4,2,3,1,1,1,3,3,13,9,6,6,17,5,16,12,16,12,- -  -,Wnt
2000186027,Findlay Curtis,AM (R),0.64,14,14,14,9,13,12,8,4,9,6,5,8,4,9,14,12,10,11,3,6,8,8,5,7,10,5,11,5,7,12,2,3,8,3,1,11,1,2,1,1,2,1,3,4,3,3,2,13,8,2,10,5,12,11,11,11,20,- -  -,Yth
5130321,Lukas Jutkiewicz,ST (C),1.19,9,7,15,16,13,9,12,15,17,12,14,11,12,12,15,7,13,11,9,15,10,15,7,10,9,11,11,7,17,10,9,5,12,15,7,10,1,1,1,2,1,3,1,1,4,4,3,15,13,6,11,10,5,16,13,11,10,- -  -,
28100122,Ben Wynter,"D (RC), WB (R)",0.13,11,9,11,11,12,12,14,10,7,10,11,11,9,9,12,8,9,8,11,10,6,11,4,11,8,6,9,2,12,7,8,12,10,3,11,8,1,1,2,3,1,2,3,3,3,2,2,5,12,2,7,10,2,10,11,11,11,- -  -,Wnt
28100540,Tahvon Campbell,ST (C),1.04,14,13,11,9,12,13,11,11,5,8,2,9,8,8,7,15,6,12,7,10,9,10,6,8,10,11,10,5,8,8,3,3,8,8,3,12,3,4,2,3,1,1,2,1,2,2,3,14,12,4,2,10,4,7,11,8,7,- -  -,Inj
93023425,Victor Lindelöf,D (RC),0.17,13,12,14,14,16,13,16,13,10,14,10,13,14,14,12,7,10,8,15,14,12,13,3,10,12,7,14,4,13,5,11,15,14,12,15,14,4,1,2,3,3,4,1,2,2,2,3,16,12,6,8,15,5,17,15,15,16,- -  -,Set
29163017,Danny McNamara,D/WB (R),0.05,13,14,11,10,14,12,13,12,10,13,11,12,12,13,14,12,9,13,12,13,12,13,5,13,12,6,12,4,10,8,8,13,13,5,13,14,3,2,3,2,3,3,3,1,2,3,3,7,11,8,7,13,4,13,13,12,11,- -  -,Inj
28059471,Jordan Tunnicliffe,D (C),0.22,9,9,10,13,12,8,10,13,13,11,11,10,10,11,11,6,12,9,12,11,7,12,4,5,8,6,8,3,15,4,3,13,8,5,13,10,3,3,3,3,1,1,3,1,2,1,2,12,13,9,7,11,6,9,10,10,8,- -  -,
37040604,Hakim Ziyech,M/AM (RLC),2.11,14,16,12,10,15,13,15,9,13,17,13,13,10,10,14,17,11,14,6,12,17,12,14,14,14,10,16,16,10,14,7,6,15,13,6,16,2,2,4,3,1,3,2,3,4,2,2,14,12,12,10,14,6,15,15,16,12,- -  -,Set
29232946,Joshua Williams,D/WB/M (R),0.44,13,10,9,10,12,12,12,11,11,10,12,7,10,11,8,11,8,10,10,10,11,11,9,11,10,8,10,10,10,8,10,11,11,7,11,10,2,3,2,1,3,1,1,4,1,3,2,10,10,3,9,10,5,11,12,10,15,- -  -,
2000035470,Enoch Muwonge,M/AM (C),0.37,10,8,6,4,13,8,7,4,9,8,4,6,11,7,11,11,11,8,3,7,8,9,6,6,5,9,15,6,6,5,2,7,8,3,4,13,1,1,1,2,2,2,3,3,1,1,1,10,8,4,15,11,13,10,10,11,19,- -  -,
29061164,Dan Burn,D (LC),0.11,9,8,8,19,12,14,15,16,13,15,17,13,13,13,16,8,13,9,13,17,12,17,7,9,9,9,12,4,16,4,13,14,13,5,15,12,3,1,2,3,3,4,3,1,3,1,4,14,15,4,5,12,5,18,15,6,10,- -  -,
